stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,158.14,2688.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.87,0,0,0,0,0,0,0,0
  5-6,12.26,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,281.96,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,10.51,21.03,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,58,1,0,0,0,0,0,4,1,0,0,3,0,0,1,0,0,0,4,0,5,7,1,16,0,2,1,2,0,0,0,0
 24-34,0,0,0.82,1.64,24.63,0,0,0,2.46,0,0,3.28,0,0,0,5.75,8.21,0.82,0,1.64,0,1.64,14.78,0,23.8,13.95,0,55.82,0,0.82,0,1.64,0,0,0,1.64
 36-46,0,0,0,0,8.06,0,0,1.61,0,0.81,0,0.81,0,0.81,0,1.61,14.5,0,0,0.81,0,0,22.56,0,20.95,10.47,0,48.34,0,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,5.74,0,0,2.87,2.3,0,0,0.57,1.15,0,0,1.72,8.03,0.57,1.15,0.57,0,0,14.92,0,12.05,13.77,0,38.44,0,1.15,0,0.57,0,0,0,0
 60-70,0,0,0,0,20.61,0,0,1.96,0.98,0,0,0,1.96,0,0,4.91,7.85,0,4.91,2.94,0,0,10.8,0,10.8,8.83,0,47.11,0,0.98,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,17.67,0,0,3.93,4.91,0,0.98,6.87,1.96,0,0,4.91,20.61,0.98,3.93,4.91,0.98,0.98,12.76,0,20.61,29.45,0,44.17,0,0,0,2.94,3.93,0,0,0
 84-94,0,0,3.19,0,49.92,2.12,0,0,13.81,0,0,9.56,1.06,0,0,8.5,8.5,0,1.06,7.43,0,0,9.56,0,18.05,16.99,0,147.62,0,3.19,0,0,9.56,0,0,3.19
 96-106,0,0,1.09,0,72.13,0,1.09,4.37,13.11,0,4.37,21.86,0,0,1.09,10.93,24.04,3.28,2.19,3.28,0,1.09,14.21,1.09,36.06,48.09,0,137.7,0,1.09,0,0,7.65,0,0,1.09
108-118,0,0,0.77,0.77,56.68,0,0,3.83,23.74,0,0.77,19.92,0,0,0,9.19,16.85,0.77,3.06,6.13,0,0,6.89,0.77,25.28,42.89,0,94.98,0,0.77,0,0.77,9.19,0.77,0,0
120,0,0,0,0,45.08,0,0,3.92,21.56,0,1.96,11.76,0,0,0,9.8,11.76,0,5.88,1.96,0,0,9.8,0,17.64,25.48,0,72.51,1.96,0,0,1.96,3.92,0,0,0
