stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,2.46,0,0,0,0,0.82,0,0,23.8,0,4.1,0.82,0,0,13.95,0,0,0,0
 36-46,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,69.29,0,4.03,0,0,0,20.14,0,0.81,0,0
 48-58,0,0,0,0,0,0,4.59,0.57,0,0,0,1.72,0,0,98.69,0,4.02,0,0,0,22.38,0,0,0,0
 60-70,0,0,0,0,0,0,23.56,0.98,0.98,0,0,0,0.98,0.98,271.88,0,5.89,0,0,0.98,20.61,0,0,0,0.98
 72-82,0,0.98,0,3.93,0,0,43.19,2.94,1.96,0,0,7.85,0,1.96,362.23,0,6.87,0,0,0,11.78,0,0.98,0.98,0
 84-94,0,2.12,0,0,0,0,28.68,3.19,4.25,1.06,0,4.25,0,0,160.37,1.06,6.37,0,0,3.19,7.43,0,0,0,0
 96-106,0,1.09,0,2.19,0,0,38.25,3.28,2.19,0,0,3.28,1.09,0,183.6,0,6.56,0,0,0,5.46,2.19,0,0,0
108-118,0,0,0,3.83,0,0.77,26.81,0,1.53,0,0,2.3,0,0,196.85,0,9.19,0.77,0,1.53,4.6,2.3,1.53,0,0
120,0,0,0,3.92,0,0,27.44,0,0,0,1.96,1.96,0,0,190.1,0,1.96,0,0,0,5.88,0,0,0,0
