stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,2,0,0,0,1,0,0,1,0,0,4,0,0,1,1,3,0
 24-34,0,2.46,0,0,0,0,0,1.64,0,0,13.13,0,0.82,2.46,0,4.1,0
 36-46,0,3.22,0,0,0,0,0,1.61,0,0.81,12.09,0,0,1.61,0,2.42,0
 48-58,0,4.02,0,0.57,1.15,0,0.57,0.57,0,0.57,13.77,0,0,1.15,0,1.72,0
 60-70,0.98,4.91,0,0.98,0.98,0,0,0.98,0,0,7.85,0,0,1.96,0,0,0
 72-82,0.98,2.94,0,0,0.98,0,0,2.94,0.98,0,11.78,0,0.98,5.89,0,0.98,0
 84-94,1.06,4.25,0,0,1.06,0,0,1.06,0,0,7.43,2.12,0,6.37,0,1.06,0
 96-106,4.37,2.19,0,0,0,0,0,0,0,0,5.46,1.09,0,14.21,0,0,0
108-118,5.36,1.53,0.77,0,0,0.77,0,0,0.77,0,3.06,0,0,4.6,0,0,1.53
120,3.92,1.96,0,0,0,0,0,0,0,0,3.92,1.96,0,11.76,0,0,0
