stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1035.91,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,73.6,0,0,76.23,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,486.31,10.51,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,251.76,6.29,0,0,84.97,0,0,3.15,3.15,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,5,37,11,20,0,0,0,8,5,0,1,0,1,0,0,0,0,22,0,0,13,261,5,2,5,7,0,3,0,51,1,2,57,88,0,1,0,0
 24-34,0.82,0,1.64,9.85,2.46,38.58,0,0,0,5.75,0,0,1.64,1.64,0,0,2.46,0.82,0,35.3,0,0,13.13,237.23,0.82,0.82,4.1,0,0,4.1,0,0,0.82,0,9.03,53.36,0,4.93,0,0.82
 36-46,0,0,0,1.61,0,20.14,0.81,0,0,9.67,0.81,0,0.81,0.81,0.81,0,0,0.81,0,22.56,0.81,3.22,6.45,115.21,0.81,0.81,0.81,0,0,3.22,0,0.81,0,0,0,29.81,0,2.42,0,0
 48-58,0,0,0,1.72,0,24.67,0.57,0.57,1.15,9.18,0,0,1.15,0,0.57,0,0.57,1.15,0,24.67,0,0.57,6.31,35,0.57,0,1.15,0,0,4.02,0,0,0,0,0,13.77,0,0.57,0,0
 60-70,0,0,0,4.91,0,23.56,0,0,1.96,13.74,0.98,0,0.98,0,0,0.98,0,0,0,49.08,1.96,0.98,5.89,31.41,0.98,0,0.98,0,0,3.93,0,0,0.98,0,0,5.89,0.98,1.96,0,0
 72-82,0,0,0,2.94,0.98,5.89,0,0,0.98,18.65,0.98,0.98,0,0,0,1.96,0.98,0,0,44.17,0,0,7.85,23.56,0,0,3.93,0,0,2.94,0,0,0.98,0,0,1.96,2.94,6.87,0.98,0
 84-94,0,0,0,5.31,1.06,8.5,0,0,1.06,8.5,1.06,0,0,1.06,1.06,0,0,0,0,28.68,0,2.12,2.12,10.62,0,0,3.19,0,0,8.5,0,0,0,0,0,3.19,1.06,5.31,3.19,0
 96-106,0,0,0,3.28,3.28,7.65,1.09,1.09,0,9.84,1.09,0,1.09,1.09,3.28,0,1.09,0,1.09,26.23,0,2.19,4.37,5.46,0,0,4.37,0,0,4.37,0,0,1.09,1.09,0,1.09,0,4.37,1.09,0
108-118,0,0,0,3.83,0,6.13,0,0,1.53,6.89,0,0,0.77,1.53,0.77,0,0,0.77,0,21.45,0,0,6.13,7.66,0,0,0.77,0,0.77,1.53,0,0,0,0,0,0,0.77,2.3,0,0
120,0,0,0,3.92,3.92,7.84,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,23.52,0,0,0,19.6,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
