stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,13.14,0,0,0,31.54,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,126.18,7.89,0,0,136.69,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,25.18,0,0,0,44.06,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,195.11,12.59,0,0,270.64,0,0,3.15,0,18.88,0,9.44,0,0,0,0,0,0
 14-21,1,1,5,79,9,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,31,0,0,40,110,2,0,2,9,0,0,0,202,2,8,120,118,0,0,1,0,0
 24-34,0,0,5.75,14.78,1.64,0,8.21,0,2.46,1.64,4.93,0.82,0,3.28,0,0,0,0,0,3.28,48.43,0,0.82,36.94,142.01,0,0,4.1,0,0,0.82,0,0,2.46,0.82,30.37,73.06,0,0,12.31,0,6.57
 36-46,0,0,0,5.64,0,0,4.83,0,0,3.22,9.67,0,0,4.83,0,0,1.61,0,0,3.22,69.29,0,0.81,25.78,128.91,0.81,0.81,2.42,0,0.81,2.42,0,0,1.61,1.61,0.81,53.98,0,0,20.14,0,7.25
 48-58,0,0,0,2.87,0,0,11.48,0.57,1.15,1.72,27.54,0,0,3.44,0,0,0.57,1.15,0,1.15,82.05,0,0.57,21.23,64.27,0,0,4.02,0,0,1.15,0,0,0.57,0.57,0,39.59,0,0.57,12.05,0,7.46
 60-70,0,0,0,4.91,0,0,14.72,2.94,1.96,0.98,61.84,0,0,5.89,0,0,0,0.98,0.98,0.98,161.95,0,2.94,8.83,88.34,0,0.98,4.91,0,5.89,0.98,0,0,0,0,0,25.52,0,4.91,8.83,0.98,6.87
 72-82,0,0,0,1.96,0,0,34.36,0,0.98,0,99.15,0.98,0,4.91,0.98,0,2.94,0,0,0,214,0,5.89,14.72,58.9,0,0,3.93,0,3.93,0.98,0,0,1.96,0,0,11.78,0,3.93,20.61,0,6.87
 84-94,0,0,0,13.81,0,0,38.23,0,0,3.19,48.85,4.25,0,0,0,0,1.06,0,2.12,2.12,125.32,0,8.5,16.99,59.47,0,0,3.19,0,3.19,5.31,0,0,1.06,0,0,7.43,1.06,3.19,20.18,2.12,13.81
 96-106,0,0,0,14.21,0,0,50.27,2.19,1.09,1.09,63.39,1.09,0,2.19,0,1.09,5.46,0,2.19,2.19,130.05,1.09,6.56,7.65,61.2,0,0,6.56,0,6.56,4.37,0,0,0,0,0,6.56,1.09,1.09,25.14,3.28,12.02
108-118,0,0,0,13.79,0,0.77,48.26,2.3,3.06,0,65.11,1.53,0,0,0,0,8.43,1.53,1.53,3.83,65.87,0,5.36,11.49,46.72,0,0,5.36,0.77,5.36,1.53,0,0,0.77,0.77,0,1.53,1.53,2.3,19.92,3.06,14.55
120,0,0,0,3.92,1.96,0,37.24,1.96,1.96,0,37.24,1.96,0,1.96,0,0,1.96,0,0,0,52.91,0,0,9.8,50.95,0,0,1.96,0,1.96,0,0,0,0,0,0,3.92,0,0,11.76,1.96,3.92
