stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,57,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,29,0,0,43,13,0,0,1,0,1,5,0,16,4,0,0,2,0,0
 24-34,0.82,36.12,0,0,1.64,0,0.82,0.82,0.82,0.82,4.1,0,0,0,0,0,0,130.52,0,0,87.83,18.06,4.1,0,0,0.82,6.57,0.82,0.82,4.1,3.28,0,0,12.31,0,0.82
 36-46,0,13.7,0,0,4.03,1.61,0,3.22,2.42,0.81,12.89,0,0,0,0,0,0,201.42,0.81,4.83,80.57,19.34,2.42,0.81,0,0.81,6.45,0.81,0,0,4.03,0,0.81,10.47,0,4.03
 48-58,0,11.48,0,0,2.3,0,0.57,8.03,2.87,0,4.59,0,0,0,0,1.72,2.87,164.11,0,5.74,48.2,8.61,5.74,0,0,0.57,4.02,0,0,0,2.3,0,0,3.44,0,2.87
 60-70,0,16.69,0,0,6.87,0,2.94,6.87,9.82,0,1.96,0,0,0,0,5.89,0,156.06,0,4.91,18.65,5.89,6.87,0,0,0.98,1.96,0,0,0,2.94,0,0.98,0.98,0,0
 72-82,0,18.65,0.98,0,19.63,0,1.96,14.72,22.58,0.98,4.91,0.98,0,0,0,30.43,0.98,225.78,0,9.82,24.54,13.74,5.89,0,0,2.94,0,0,0,0,4.91,0.98,6.87,3.93,4.91,0
 84-94,0,53.1,0,0,16.99,0,10.62,13.81,11.68,1.06,4.25,1.06,0,1.06,0,123.2,7.43,219.84,0,10.62,13.81,9.56,16.99,1.06,1.06,1.06,8.5,0,1.06,0,0,0,2.12,2.12,6.37,0
 96-106,0,40.44,0,0,15.3,0,7.65,21.86,14.21,0,3.28,1.09,0,0,1.09,225.13,1.09,204.36,1.09,10.93,19.67,31.69,10.93,1.09,1.09,2.19,8.74,0,0,0,3.28,1.09,2.19,0,6.56,2.19
108-118,0.77,88.09,0,1.53,18.38,0.77,29.87,23.74,13.79,3.83,6.89,2.3,0,0,0,638.81,2.3,364.6,0,13.02,32.17,56.68,26.04,0.77,3.06,9.96,1.53,0,0,0,2.3,0,2.3,3.06,10.72,3.83
120,0,86.23,0,0,3.92,0,11.76,25.48,7.84,1.96,9.8,1.96,1.96,0,0,254.77,0,223.42,1.96,11.76,19.6,25.48,37.24,0,0,3.92,1.96,0,0,0,0,0,1.96,1.96,3.92,0
