stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,6.29,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,47.2,0,0,0,6.29,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,3,56,15,0,8,0,0,30,0,0,3,0,1,0,0,0,0,83,0,0,131,129,0,0,0,1,0,3,4,9,52,173,55,0,0,1,0,1
 24-34,0.82,0,0,3.28,89.47,0.82,0,25.45,4.1,0,39.4,0,0,22.98,0,0.82,0,1.64,0,1.64,119.84,0.82,0.82,92.76,148.57,0,0,2.46,0,1.64,1.64,0.82,7.39,10.67,12.31,55.82,0,0,4.93,0,3.28
 36-46,0,0,0,0,29,0.81,0,18.53,4.03,0,20.14,0,0,22.56,0,0,0.81,0,0,8.06,115.21,0,9.67,39.48,53.98,0,0.81,0.81,0,0,2.42,0,1.61,4.83,0.81,26.59,0,0.81,4.83,0.81,2.42
 48-58,0,0,0.57,0,14.92,0.57,0,26.97,5.16,3.44,5.16,0,0,13.2,0,0,1.15,2.3,0,9.75,140.01,0,6.31,18.94,34.43,0,0.57,1.15,0.57,2.87,0.57,0,1.15,5.16,0,12.62,0,0,2.87,1.15,7.46
 60-70,0,0,0,0,31.41,0,0,47.11,2.94,2.94,8.83,0,0,6.87,0,0,2.94,1.96,0.98,4.91,219.86,0,10.8,5.89,40.24,0,2.94,0,0,3.93,2.94,0,0.98,4.91,0,3.93,0,1.96,1.96,1.96,5.89
 72-82,0,0,0,0,19.63,0,0,53.01,7.85,7.85,17.67,1.96,0,3.93,0,0.98,3.93,6.87,0,3.93,324.93,0,21.6,10.8,46.14,0,5.89,2.94,0,1.96,3.93,0,0.98,5.89,0,1.96,0,1.96,8.83,7.85,8.83
 84-94,0,0,0,0,30.8,1.06,0,95.58,3.19,5.31,12.74,1.06,0,2.12,2.12,0,7.43,9.56,1.06,8.5,221.97,1.06,12.74,8.5,20.18,0,1.06,1.06,0,3.19,4.25,0,2.12,4.25,0,6.37,1.06,3.19,4.25,5.31,2.12
 96-106,0,0,0,0,40.44,1.09,1.09,72.13,8.74,2.19,16.39,3.28,0,5.46,0,0,12.02,7.65,0,3.28,159.56,2.19,18.58,5.46,37.16,0,5.46,12.02,1.09,3.28,8.74,0,4.37,2.19,0,6.56,1.09,4.37,4.37,19.67,5.46
108-118,0,0,0,0,40.6,0.77,0,88.85,16.85,3.83,6.89,2.3,0,0.77,1.53,2.3,14.55,6.89,0.77,10.72,116.43,0.77,8.43,9.96,28.34,0,4.6,3.83,0,7.66,2.3,0,0.77,3.83,0,0,4.6,2.3,2.3,8.43,3.83
120,0,0,0,0,47.03,1.96,0,45.08,17.64,1.96,3.92,1.96,0,1.96,3.92,0,3.92,0,0,1.96,111.71,0,9.8,9.8,27.44,1.96,1.96,7.84,0,7.84,3.92,0,0,1.96,0,1.96,1.96,0,5.88,13.72,0
