stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,37,0,0,163,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,256,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,763.4,0,0,0,5.75,0,0,0.82,0,0.82,0,0,0,0,4.1,0,0,4.93,487.59,0,0.82,1.64,0,0,0,0,0,0.82,19.7,0,0,0,0,0
 36-46,0,0,0,5.64,0,0,2085.07,0.81,0,0,10.47,0,0,0.81,0.81,0,0,0,0,0,4.83,0,0,1.61,383.5,0,3.22,0.81,0,0,1.61,0.81,0,0,20.14,0,0,2.42,0,0
 48-58,0,0,0,6.31,0,0,2567.78,0.57,0.57,0.57,32.13,0,0,0,1.15,0.57,1.15,0.57,1.72,2.3,21.23,0,0,5.74,377.56,1.15,1.15,1.72,0,0,2.3,0,0,0,42.46,0,0,2.3,0,2.3
 60-70,0,0,0,4.91,0.98,0,3154.61,0,2.94,0.98,70.67,0,0,0,1.96,0,0,0,0,1.96,13.74,0,1.96,0,276.79,0,0,1.96,0,0,1.96,0,1.96,0,15.7,0,0,0,0,0.98
 72-82,0,0,0,11.78,4.91,0,2732.95,0.98,3.93,1.96,148.23,1.96,0,0,1.96,0.98,0.98,0.98,0,0,46.14,0,1.96,3.93,287.63,0.98,2.94,1.96,0,1.96,1.96,0,0,0,6.87,0,0,5.89,1.96,3.93
 84-94,0,0,0,28.68,4.25,0,1921.23,1.06,1.06,4.25,117.89,0,0,0,2.12,1.06,3.19,4.25,2.12,0,36.11,0,5.31,4.25,184.79,0,0,1.06,0,0,4.25,0,1.06,0,11.68,1.06,3.19,2.12,1.06,0
 96-106,0,0,0,15.3,6.56,0,1387.92,1.09,2.19,1.09,119.12,1.09,0,2.19,3.28,0,0,1.09,2.19,0,26.23,1.09,1.09,6.56,161.74,1.09,5.46,3.28,0,1.09,4.37,0,0,0,2.19,0,1.09,1.09,1.09,0
108-118,0,0,0,9.96,4.6,0.77,1109.88,0,1.53,0,89.62,2.3,0,0,0,0.77,0.77,0,2.3,0.77,14.55,0,0,0.77,196.09,0,0,0,0,0.77,3.83,0,0,0,0,0.77,0,1.53,0.77,0
120,0,0,0,9.8,3.92,0,711.4,0,0,1.96,72.51,1.96,0,0,1.96,0,1.96,0,0,0,15.68,0,0,1.96,184.22,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
