stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,50.35,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,20,27,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,94,0,0,533,75,3,0,1,2,0,2,79,3,10,2230,14,0,4,0,0
 24-34,0,0,0,0,17.24,5.75,0,10.67,8.21,0,9.03,0.82,0,0,0.82,0,1.64,0,0,0,0.82,377.59,0.82,0,694.44,118.2,35.3,0.82,0,0.82,0,4.93,3.28,0.82,2.46,492.51,22.16,0,21.34,0,0
 36-46,0,0,0,0,0.81,0,0,10.47,3.22,0,19.34,2.42,0,0,1.61,0,0,0,0.81,0,0.81,408.47,0,0,380.28,64.45,41.89,0.81,0.81,0,0,1.61,0,0.81,3.22,16.11,7.25,0.81,5.64,0,0
 48-58,0,0,0,0,1.15,0.57,0,16.64,0,0,5.74,3.44,0,0,1.15,0.57,0,0.57,0,0,0.57,318.46,0.57,1.15,194.52,54.51,56.23,0,0,0,0,0.57,0,0,0.57,0,10.33,2.3,1.15,0.57,0
 60-70,0,0,0,0,0.98,0,0,13.74,0.98,0.98,2.94,3.93,0,0,0,0.98,0.98,0,0,0,0,283.66,0.98,1.96,92.26,31.41,31.41,0,0,0,0,2.94,0,0,0.98,0,4.91,9.82,0,4.91,0
 72-82,0,0,0.98,0,1.96,1.96,0,27.49,0,0.98,3.93,1.96,0,0,0,0.98,0.98,0,0.98,0,0,381.87,0.98,5.89,100.13,42.21,25.52,0,0,0,1.96,0.98,0,0,0.98,0,0.98,14.72,0.98,17.67,0
 84-94,0,0,0,0,4.25,0,0,46.73,0,1.06,3.19,3.19,1.06,0,0,3.19,1.06,0,0,1.06,0,265.51,0,7.43,78.59,20.18,29.74,1.06,1.06,0,1.06,2.12,0,0,2.12,0,1.06,10.62,0,23.36,0
 96-106,0,0,1.09,0,0,0,0,20.76,0,0,0,2.19,0,1.09,1.09,0,1.09,1.09,1.09,0,0,250.26,0,4.37,63.39,36.06,32.79,0,2.19,0,3.28,3.28,0,1.09,0,0,2.19,8.74,0,33.88,0
108-118,0.77,0,0,1.53,2.3,2.3,0.77,19.92,0,0.77,0.77,3.83,0,0,0,0.77,0,0.77,0.77,0.77,0,249.7,0.77,9.96,51.32,28.34,30.64,1.53,0,0,0.77,1.53,0,0,0,0,0.77,9.19,0,22.21,0.77
120,0,0,0,0,3.92,0,0,19.6,0,1.96,0,1.96,0,0,0,0,1.96,0,3.92,1.96,0,215.58,0,9.8,37.24,39.2,33.32,3.92,0,0,3.92,1.96,0,1.96,0,0,0,7.84,0,35.28,0
