stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,1,0,0,1,0,0,1,0,0,0,0,3,2,0,0,0,3,0,4,0,1,11,1,0,0
 24-34,0,0,0,0,4.1,3.28,0,0,0,0,0,0,0,0.82,8.21,0,12.31,0,2.46,0,0,7.39,0,0,0.82,0,0
 36-46,0,0,1.61,0,2.42,0,0,0,0,0,0,0,2.42,0,4.03,0,6.45,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0,3.44,0,0,0.57,0,0.57,0,1.72,0.57,0,4.02,0.57,6.89,0,0,0,0,3.44,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0.98,0,0.98,0,0,0,6.87,0.98,0.98,3.93,0,8.83,0,0,0,0,4.91,0,0,0.98,0,0.98
 72-82,0,1.96,0,0,2.94,0,0.98,0,0,0.98,0,15.71,8.83,0,7.85,0,27.49,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,18.05,5.31,0,6.37,1.06,55.23,0,1.06,0,0,5.31,0,0,0,0,0
 96-106,0,0,2.19,0,5.46,1.09,1.09,2.19,0,0,1.09,42.62,3.28,0,12.02,0,68.85,0,0,0,0,4.37,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,0.77,0,0,0,28.34,3.06,0.77,24.51,0.77,44.43,0.77,0,0,0,2.3,0,0,0,1.53,0
120,0,1.96,0,0,0,0,0,0,0,0,0,27.44,5.88,1.96,25.48,0,58.79,0,0,1.96,0,1.96,0,0,0,0,0
