stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,5.75,0,0,0,0.82,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,13.7,0,0,0,6.45,0,0,0,0.81,0,2.42,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,13.77,0,1.15,0,2.87,0,0,0.57,1.15,0,2.87,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,23.56,0,32.39,0,1.96,0,0,1.96,0,0,0.98,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,36.32,0.98,100.13,0,1.96,0,0,1.96,0.98,0.98,5.89,1.96,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,41.42,0,90.27,0,1.06,0,0,1.06,1.06,0,2.12,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,43.71,0,140.98,1.09,0,1.09,0,3.28,0,1.09,12.02,1.09,2.19,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,22.98,0,105.7,0,0,0,0.77,2.3,0,0.77,7.66,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,21.56,0,92.11,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0
