stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,5.75,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,32.13,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0.57,4.59,0,0,0,0,0,0,0,2.3,0,0,0,0,0.57
 60-70,0,0,0,0,0,144.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,13.74,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,5.89,256.21,0,0.98,1.96,11.78,2.94,0.98,0,0.98,0.98,0.98,0,0.98,0,33.38,0,3.93,2.94,64.79,0,0,0.98,0,0.98,2.94,1.96,6.87,0.98,1.96,5.89,1.96,1.96
 84-94,0,0,2.12,7.43,1.06,278.25,0,0,0,7.43,1.06,0,0,1.06,1.06,1.06,1.06,0,0,20.18,0,3.19,0,37.17,0,0,0,0,0,9.56,0,4.25,1.06,1.06,3.19,2.12,0
 96-106,0,0,0,31.69,8.74,301.63,2.19,1.09,2.19,16.39,2.19,0,1.09,6.56,1.09,1.09,2.19,5.46,1.09,41.53,0,3.28,3.28,92.89,0,4.37,1.09,0,0,22.95,0,4.37,0,1.09,2.19,1.09,2.19
108-118,0.77,0,0.77,8.43,4.6,254.3,0.77,4.6,1.53,14.55,1.53,0,0,2.3,3.06,1.53,0,1.53,0,48.26,1.53,0.77,3.83,91.92,0.77,1.53,1.53,0,0.77,11.49,0,3.06,1.53,0,3.83,1.53,2.3
120,0,0,0,15.68,13.72,346.88,0,3.92,0,7.84,0,0,0,5.88,0,1.96,1.96,3.92,0,31.36,0,0,11.76,80.35,1.96,0,5.88,0,0,3.92,3.92,0,0,1.96,1.96,1.96,0
