stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.43,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,184,1,0,3,1,0,1,4,0,0,1,0,0,0,0,5,0,0,2,61,0,1,2,2,0,2,0,1,4,34,0,0,3,0,0
 24-34,0,1.64,2.46,41.04,0,0,2.46,13.13,0.82,2.46,2.46,3.28,0,5.75,0,3.28,0.82,0.82,25.45,0,0,14.78,129.7,1.64,4.1,11.49,0,0,12.31,0,0,0,35.3,0,0,10.67,0,0.82
 36-46,0,0,0,16.11,0,0,4.83,4.03,1.61,5.64,0,0,0,0,0,3.22,0.81,0,29,0.81,0.81,6.45,64.45,0,0,0,0,0,12.89,0.81,0,0,18.53,0,0,7.25,0,0.81
 48-58,0,0,0,6.31,0,0,4.59,3.44,1.72,8.61,1.15,0.57,0,0.57,0,2.3,0,0,40.74,0.57,0,4.59,35.58,0.57,0,2.3,0,0,8.61,0,0,0,14.92,0,1.15,2.87,0,0.57
 60-70,0,0,0,11.78,0,0,2.94,5.89,0.98,24.54,0,0.98,0,0.98,0,2.94,0,0,49.08,0,0.98,4.91,16.69,0,0.98,0.98,0,0,9.82,0,0,0,4.91,0.98,0,3.93,0.98,0
 72-82,0,2.94,0.98,26.5,0,0,7.85,10.8,4.91,25.52,0.98,4.91,3.93,3.93,0.98,4.91,0,0,84.42,1.96,1.96,4.91,29.45,0,0,3.93,0,0,4.91,0,0,0,3.93,5.89,1.96,10.8,0.98,1.96
 84-94,0,2.12,0,42.48,2.12,1.06,4.25,7.43,3.19,16.99,1.06,0,3.19,6.37,1.06,6.37,0,1.06,52.04,2.12,1.06,4.25,19.12,0,0,7.43,0,0,39.3,0,0,0,0,4.25,0,11.68,4.25,0
 96-106,0,0,0,29.51,0,0,5.46,7.65,3.28,19.67,2.19,4.37,4.37,7.65,2.19,5.46,1.09,1.09,46.99,2.19,3.28,5.46,14.21,1.09,0,6.56,0,0,20.76,0,0,0,2.19,6.56,1.09,10.93,1.09,0
108-118,0,0.77,0.77,39.06,0,0,4.6,17.62,4.6,17.62,3.83,1.53,4.6,4.6,0.77,2.3,0.77,0,37.53,0,0.77,1.53,22.98,0,0,3.83,0,3.06,12.26,0,0,0,0.77,4.6,1.53,8.43,0.77,0.77
120,0,0,0,13.72,0,0,1.96,7.84,0,15.68,5.88,3.92,1.96,0,0,0,0,0,29.4,0,1.96,5.88,17.64,0,0,3.92,0,0,5.88,0,0,0,0,0,1.96,3.92,0,0
