stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,2,0,2,18,0,0,0,0,0,0,0,0,12,0,0,0,0
 24-34,0,0,2.46,3.28,3.28,0,0,0,8.21,0.82,0,0,0,0,0,0,4.93,0,4.1,75.52,0,0,0,0,0,0,0,0,41.04,0,0,0.82,0
 36-46,0,0,0,0,0,0,3.22,0,6.45,0,0,0,0,2.42,0.81,0,9.67,0.81,7.25,52.37,0,0,0,0,0,0,0,0,32.23,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,2.3,0,7.46,0,0,0,0,1.15,0,0,12.05,0,5.16,30.41,0,0.57,0,0,0.57,0,0,0,16.07,0,0,9.18,0
 60-70,0,0,0,0,3.93,0,12.76,0,14.72,0,0,0,0,0.98,0,0,43.19,0,4.91,60.85,0,0,0,0,2.94,0,0,0,12.76,0.98,0,8.83,0
 72-82,0,0,0,0,3.93,0,7.85,0,14.72,0,0,0,0,1.96,0,0,36.32,0,1.96,96.2,0,0,0,0,2.94,0,0,0,17.67,0,0.98,41.23,0
 84-94,0,0,0,0,7.43,0,7.43,0,10.62,0,0,0,0,10.62,0,0,47.79,0,1.06,50.98,0,0,4.25,0,2.12,1.06,0,0,6.37,0,0,33.99,1.06
 96-106,0,0,1.09,0,15.3,0,9.84,1.09,4.37,1.09,0,1.09,0,5.46,0,0,26.23,0,0,56.83,0,0,2.19,0,2.19,0,1.09,0,9.84,2.19,0,49.18,0
108-118,0,0,0,0,3.83,0,3.06,0,6.89,0,0,0,1.53,2.3,0,0,37.53,0.77,1.53,31.4,0,0,0.77,0,0.77,0,0,0.77,6.89,1.53,0,34.47,0
120,0,0,0,0,11.76,0,3.92,1.96,3.92,0,0,0,0,7.84,0,0,31.36,0,1.96,72.51,0,0,1.96,0,3.92,0,0,0,1.96,0,0,25.48,0
