stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,6,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,2.46,48.43,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,13.13,17.24,0,0.82,0,0.82,13.13,3.28,1.64,0,0,0,0
 36-46,0,0,0,1.61,0,3.22,142.6,0,2.42,0,0.81,0,0,0,0,0,1.61,2.42,0,0,6.45,25.78,0,0,0,0.81,33.03,0.81,4.03,0,0,0,0.81
 48-58,0,0,0,0,0,18.36,209.44,0.57,4.59,0,0,0,0,0,0.57,0,0.57,10.9,1.15,0.57,8.61,49.35,0.57,0.57,0,1.15,80.33,0,6.89,0,0.57,0,0.57
 60-70,0,0,0,1.96,0.98,18.65,136.43,0,1.96,0,0,0,0,0,0,0,0,10.8,0,0,7.85,31.41,0,0,0,1.96,58.89,0,2.94,0,0.98,0,0
 72-82,0,0,0.98,1.96,1.96,4.91,90.31,0,4.91,0,0,0,0,0,0.98,0,0,2.94,0,0,6.87,33.38,0,0,0,0.98,43.19,0,3.93,0,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,14.87,141.25,0,2.12,1.06,0,2.12,1.06,0,0,1.06,1.06,16.99,0,0,11.68,24.43,2.12,0,0,6.37,89.21,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,2.19,18.58,144.26,0,3.28,0,1.09,1.09,1.09,1.09,1.09,0,0,16.39,0,1.09,17.49,17.49,0,2.19,0,4.37,66.66,0,2.19,0,1.09,0,1.09
108-118,0,0,0,0.77,0,4.6,79.66,1.53,0,0,0,0,0.77,0.77,0,1.53,0,4.6,0,0.77,11.49,8.43,0,0,0,0.77,45.19,0,0.77,0.77,0,0.77,0
120,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,5.88,0,0,0,0,1.96,0,1.96,0,0,0,0
