stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,6,0,0,1,0,0,0,0,2,0,3,202,0,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,29.55,224.91,0.82,2.46,4.1,0,0,0,0,2.46,2.46,0.82,0.82,1.64,19.7,0,0,36.94,158.43,3.28,2.46,1.64,0,0,9.85,0,0.82,2.46,1.64,247.9,35.3,0,0,4.93,0,0.82
 36-46,0,0,0,5.64,0,0,29,477.76,0,0,8.86,0,0.81,0.81,0.81,0,0,0,0,0,21.75,0,0.81,22.56,244.12,0.81,1.61,1.61,0,0,12.09,0.81,0,0,1.61,21.75,50.76,0,0,5.64,0,2.42
 48-58,0,0,0,9.18,1.72,0,142.88,463.63,1.15,1.72,24.1,0.57,0,2.3,2.3,1.72,1.15,0,2.87,3.44,61.97,0,2.3,22.95,339.12,1.15,0.57,1.15,0,1.72,5.74,0,0,1.15,1.15,0,75.17,0,0,2.87,0,6.31
 60-70,0,0,0,8.83,0,0,101.1,311.14,0.98,0.98,28.46,0,0,1.96,1.96,0.98,0,1.96,0.98,0.98,31.41,0,1.96,20.61,158.03,1.96,1.96,0.98,0.98,0,11.78,0,0,0.98,7.85,0,20.61,0,4.91,1.96,0.98,0.98
 72-82,0,0,0.98,7.85,9.82,0.98,63.81,213.02,1.96,3.93,14.72,0.98,0,0.98,3.93,0,1.96,0,1.96,0,47.12,0,1.96,16.69,157.07,0,0,0.98,0.98,0,6.87,0,0,0,0,0,11.78,0.98,3.93,6.87,0,5.89
 84-94,0,0,0,11.68,16.99,0,96.65,323.92,0,0,23.36,6.37,0,1.06,5.31,4.25,3.19,3.19,3.19,1.06,57.35,0,5.31,14.87,138.06,1.06,4.25,2.12,0,0,39.3,0,0,0,3.19,0,7.43,0,8.5,13.81,3.19,4.25
 96-106,1.09,0,2.19,20.76,26.23,0,137.7,579.21,6.56,7.65,42.62,7.65,0,3.28,12.02,3.28,4.37,3.28,4.37,2.19,92.89,1.09,7.65,33.88,210.92,4.37,6.56,2.19,0,3.28,46.99,1.09,0,0,13.11,0,7.65,1.09,5.46,12.02,5.46,6.56
108-118,0,0,1.53,22.21,6.89,2.3,80.43,446.56,4.6,2.3,22.21,2.3,0,1.53,7.66,1.53,5.36,0,4.6,4.6,62.81,0.77,4.6,40.6,161.62,2.3,1.53,2.3,0,2.3,27.57,0,0,0,10.72,0,3.83,1.53,5.36,8.43,2.3,4.6
120,0,0,0,15.68,9.8,1.96,45.08,246.93,3.92,0,15.68,1.96,0,0,1.96,0,0,0,1.96,0,41.16,1.96,5.88,27.44,94.07,0,0,7.84,0,0,7.84,0,0,0,3.92,0,1.96,5.88,1.96,3.92,1.96,3.92
