stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,210.85,2846.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0
  5-6,104.2,1379.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,24.52,36.78,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,36.8,2.63,15.77,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,2,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,5.75,0,3.28,0,0,1.64,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,3.22,0,3.22,0,0,0.81,2.42,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,5.16,0,0,0,0,0,0.57,0,0,0.57,3.44,0,1.72,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0.98,0.98,0,0,17.67,0,0,0.98,0,0,0.98,0,0,0,1.96,0,1.96,0,0,0.98,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,1.96,1.96,0.98,0,14.72,0,0,0,0,0.98,2.94,0,0,0,1.96,0,3.93,0,0,1.96,0.98,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,2.12,0,22.3,0,0,0,0,0,0,0,0,0,4.25,0,2.12,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,3.28,0,2.19,1.09,4.37,0,34.97,0,0,3.28,0,1.09,2.19,1.09,1.09,0,8.74,0,12.02,1.09,0,32.79,0,0,0,0,0,1.09
108-118,0,0,0,0,5.36,0,0,3.06,5.36,0,37.53,0.77,1.53,1.53,1.53,0,0.77,0.77,0.77,0,4.6,0,5.36,0.77,0,12.26,0,1.53,0,0.77,0,2.3
120,0,0,1.96,0,13.72,0,0,0,5.88,0,48.99,0,1.96,1.96,0,0,5.88,3.92,0,0,1.96,0,5.88,0,0,96.03,0,0,0,0,1.96,5.88
