stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,8,6,0,0,0,0,1,5,0,1,0,1,0,1,0,0
 24-34,0,3.28,27.09,0,0,0,0,0.82,4.1,0.82,0,0,0.82,0,0,0,0.82
 36-46,0,0,11.28,0,0,0.81,0,0,1.61,0,0,0,0.81,0,0,0,0
 48-58,0,0,8.61,0,0.57,0,0.57,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,3.28,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0
108-118,0,0,2.3,0,0,0,0,0,0,0,0,4.6,0,0.77,0,0,0
120,0,0,3.92,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0
