stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,0,9.03,0.82,0,2.46,0,2.46,0.82,0,0.82,0,0,9.03,0.82,0,0,0,0.82,0,0,0,1.64,20.52,0,0.82,0.82,0,0,6.57,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,43.51,8.06,0,12.89,0,6.45,0,0,0,0,0.81,41.89,0,0,0,0.81,0,4.83,0,0,4.83,138.58,0,3.22,0,0,0,4.03,15.31,0,0,0,0,4.03
 48-58,0,0,0.57,0,66.56,50.49,0,39.02,0,19.51,0.57,9.18,0,0,0,33.28,0,1.15,0,1.15,0.57,31.56,0.57,0,5.74,235.26,0,0,0,0,0.57,2.87,52.79,0,0.57,2.87,0,2.87
 60-70,0,0,0,0.98,96.19,45.15,0,191.4,0,38.28,0.98,19.63,11.78,0,0,26.5,1.96,0.98,0.98,0.98,0,50.06,0.98,0,8.83,225.75,0,0,0.98,0,0,0.98,64.78,0.98,3.93,1.96,0.98,7.85
 72-82,0,0,2.94,0,126.63,86.39,0,361.25,0.98,27.49,0.98,40.25,111.91,0,1.96,42.21,1.96,5.89,0.98,6.87,0,103.07,4.91,6.87,23.56,197.31,0,1.96,5.89,0,0.98,7.85,37.3,2.94,8.83,13.74,12.76,10.8
 84-94,0,0,3.19,1.06,254.89,78.59,0,270.82,1.06,62.66,2.12,12.74,215.59,0,0,63.72,11.68,14.87,3.19,20.18,1.06,73.28,6.37,3.19,13.81,96.65,0,0,2.12,0,2.12,35.05,14.87,14.87,6.37,7.43,15.93,16.99
 96-106,0,0,9.84,1.09,337.69,88.52,0,205.46,3.28,51.36,2.19,24.04,409.82,0,2.19,100.54,4.37,17.49,5.46,60.11,0,91.8,4.37,14.21,9.84,139.88,1.09,3.28,3.28,0,2.19,46.99,9.84,9.84,8.74,13.11,18.58,25.14
108-118,0,0,2.3,0.77,405.96,52.09,0.77,121.79,2.3,66.64,2.3,21.45,480.26,0,0,55.92,6.89,33.7,3.06,73.53,1.53,78.13,4.6,4.6,8.43,137.11,2.3,0,1.53,0,0.77,91.15,6.89,17.62,2.3,11.49,13.02,15.32
120,1.96,0,0,0,280.25,74.47,0,101.91,1.96,56.83,0,17.64,364.52,0,0,99.95,1.96,17.64,5.88,52.91,0,80.35,5.88,5.88,7.84,125.43,0,1.96,1.96,0,1.96,68.59,0,1.96,9.8,17.64,3.92,11.76
