stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,135.32,0,0,3.15,0,0
 14-21,0,3,589,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,2,1,0,2,2,3,0
 24-34,0,1.64,581.99,2.46,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,2.46,21.34,0.82,0.82,0,0,0,0,0,0,0.82,7.39,7.39,0
 36-46,0,0.81,213.5,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,11.28,0,0,0,0,0.81,0,0,0,0,2.42,1.61,0
 48-58,0,0,203.7,1.72,0,0,0.57,0,0,0.57,0,0,0,0,1.72,0,0,0.57,9.18,0,0,0,0,0.57,0,0,0,0,0.57,0.57,0
 60-70,0,0,125.63,1.96,0,0,0,1.96,0,0.98,0,0,0,0,2.94,0,0,1.96,3.93,0,0,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,2.94,293.52,4.91,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0,8.83,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,4.25,266.57,0,2.12,0,1.06,4.25,0,1.06,0,1.06,0,0,2.12,0,0,2.12,3.19,0,0,0,0,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,6.56,357.36,4.37,0,1.09,0,0,0,1.09,0,0,1.09,0,6.56,1.09,2.19,1.09,12.02,0,0,0,0,2.19,0,0,0,0,0,2.19,0
108-118,0,8.43,293.36,3.06,0,0,0,3.83,0,0,0.77,0,0.77,0,3.06,0,0,1.53,10.72,0,0,0,0,0.77,0,0,0.77,0,0,1.53,0
120,0,5.88,348.84,0,0,0,1.96,1.96,0,0,0,0,0,0,3.92,0,1.96,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,0
