stage,axial,blastomeres,endoderm,epidermis,erythrocytes,fin.epithelia,heart,lateral.line,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,34.17,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0.57,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,1.96,0
