stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0
 24-34,0,0.82,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,2.46,0,0,4.93,0,12.31,0.82,1.64,3.28,0,0
 36-46,0,0,1.61,0,0,4.83,0.81,0.81,0.81,0,0,0,0.81,0,0,9.67,1.61,0,1.61,15.31,0,10.47,0,2.42,3.22,0,0
 48-58,0,0,0.57,0,0,6.31,1.15,0,0,0,0.57,0,0,0,0,10.9,2.3,0.57,0,12.62,0,5.74,0,1.15,3.44,0,2.87
 60-70,0,0,6.87,0,0,11.78,1.96,0,2.94,0,0,0,0,0.98,0.98,0.98,1.96,0,0,4.91,0,11.78,0,0,1.96,0,5.89
 72-82,0,0,2.94,5.89,0,3.93,2.94,0,1.96,0.98,0,0.98,0,0.98,0,0,3.93,0,0,17.67,0,4.91,0,0,5.89,1.96,2.94
 84-94,0,0,8.5,3.19,0,10.62,6.37,1.06,1.06,2.12,0,1.06,1.06,2.12,0,1.06,1.06,0,0,2.12,0,23.36,1.06,0,6.37,0,3.19
 96-106,0,0,12.02,4.37,0,6.56,3.28,1.09,3.28,3.28,1.09,4.37,0,0,0,2.19,3.28,0,0,5.46,0,18.58,0,0,2.19,0,5.46
108-118,0,0,8.43,1.53,0.77,5.36,5.36,0.77,3.06,1.53,0,1.53,0,2.3,0,1.53,3.06,0.77,0.77,3.06,0.77,5.36,1.53,0,3.83,0,3.83
120,0,0,3.92,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,1.96,1.96,0,7.84,1.96,7.84,0,0,7.84,0,0
