stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,28.92,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,15.73,0,6.29,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,280.08,9.44,0,0,50.35,0,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,1,1,16,3,10,0,0,7,0,0,0,0,1,0,0,0,3,0,0,3,219,1,3,1,3,0,4,1,13,1,3,85,0,0,0,0,0
 24-34,0,0.82,0,6.57,0,33.66,0,0,21.34,0,0,0,0,0.82,0,0.82,0,10.67,0.82,0,2.46,513.86,0,28.73,3.28,0,0,0.82,0,0,0.82,5.75,150.22,0,0,0.82,0,0
 36-46,0,0.81,0,2.42,0.81,128.1,0,0,13.7,0,0,0,0,0,0.81,0,0,8.86,0,0,2.42,832.26,0.81,32.23,0,0,0,0.81,1.61,0,0,0,265.87,0,0,0.81,0,2.42
 48-58,0,0,0,1.72,0,213.46,0.57,0.57,24.1,0,0,0.57,0,0,0.57,0,0,20.66,0,1.72,4.59,936.45,0.57,22.38,1.72,0,0.57,1.15,0.57,0,0.57,0,225.51,0,0,0,0,0.57
 60-70,0,0.98,0,0.98,0,330.77,1.96,0,29.45,0,0,0,0.98,0,0,0.98,0.98,18.65,0.98,0,0.98,1192.55,0,27.48,1.96,0,0,3.93,0.98,0,0,0,178.64,0,0,0.98,0,1.96
 72-82,0,3.93,0,9.82,3.93,351.43,0,3.93,30.43,0,0,0,0,0,1.96,1.96,0,35.34,0,0,3.93,914.91,0,41.23,3.93,0.98,0,3.93,0.98,0,0.98,0,82.46,1.96,0,1.96,0.98,0.98
 84-94,0,3.19,1.06,10.62,0,285.69,1.06,3.19,36.11,1.06,0,0,0,1.06,1.06,2.12,2.12,20.18,0,0,5.31,503.41,0,23.36,8.5,0,0,12.74,0,0,0,0,40.36,0,1.06,1.06,1.06,0
 96-106,0,2.19,0,9.84,7.65,201.08,1.09,0,24.04,1.09,0,0,1.09,1.09,1.09,6.56,2.19,9.84,2.19,0,0,405.45,0,42.62,4.37,0,0,6.56,2.19,0,0,0,19.67,1.09,1.09,2.19,0,0
108-118,0,2.3,0,8.43,5.36,153.19,0.77,1.53,19.15,0.77,0,1.53,0,2.3,0,2.3,0.77,15.32,0.77,2.3,0.77,553.79,0,23.74,4.6,0,0,6.89,1.53,0,0,0,16.09,3.06,0,2.3,0,0
120,0,1.96,0,5.88,0,127.39,1.96,0,23.52,0,0,0,3.92,0,1.96,1.96,0,17.64,0,0,0,552.66,1.96,15.68,3.92,0,0,3.92,0,0,0,0,11.76,3.92,0,0,0,0
