stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,1.64,0,0,0,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,3.22,0,0,0,0.81,0,2.42,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,5.74,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,102.08,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,204.19,0.98,2.94,0,0,0,0,1.96,0,2.94,0,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,149.75,0,4.25,7.43,0,0,0,3.19,0,6.37,0,0,2.12,0,0,0
 96-106,0,0,2.19,1.09,122.4,2.19,4.37,3.28,1.09,0,1.09,1.09,1.09,6.56,0,1.09,0,0,0,0
108-118,0,0,3.06,0,103.41,0,0.77,1.53,0,0.77,0.77,0,0,3.06,0,0,0.77,0,0,0
120,0,1.96,0,0,74.47,0,0,0,0,0,0,5.88,0,7.84,0,0,0,0,0,0
