stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,23.66,13.14,0,0,99.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,37.76,0,0,151.05,0,0,15.73,0,6.29,0,0,0,0
 14-21,0,0,0,9,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,13,37,0,0,0,0,0,36,0,5,162,14,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,15.6,0.82,0,0.82,0.82,0.82,0,0,0,0.82,0,0.82,0,10.67,0,0.82,13.13,94.4,0,0.82,3.28,0,6.57,0,0.82,3.28,16.42,20.52,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,12.09,0.81,0.81,0,1.61,0,0,0,0,0,0,0,0,10.47,0,0,4.03,53.98,0,0,0,0,1.61,0,0,0.81,0,10.47,0,0.81,0
 48-58,0,0,0,0,2.3,0,0,18.94,0,0,1.15,5.16,0,0,0,0,0.57,0,0,0,12.62,0,0,3.44,36.72,0,0.57,1.15,0,1.72,0,0,0,0,10.33,0,0,0
 60-70,0,0,0,0,2.94,0.98,0,12.76,0,0,0,2.94,0,0,0,0,0,1.96,0,0,8.83,0,0,2.94,33.37,0.98,0,0,0,0.98,0,0,0,0,2.94,0,2.94,0
 72-82,0,0,0.98,0,1.96,0,0,27.49,0.98,0,0,6.87,0.98,0,0.98,0.98,0,0,0,0,17.67,0.98,0.98,5.89,39.27,0,1.96,0,0,0.98,0,0,0,0,2.94,0.98,1.96,0
 84-94,0,0,0,0,2.12,0,0,10.62,0,1.06,0,2.12,2.12,0,0,0,0,0,1.06,0,9.56,2.12,1.06,0,14.87,0,0,0,0,0,0,0,0,0,4.25,0,0,1.06
 96-106,0,0,0,0,0,0,0,3.28,0,0,0,8.74,2.19,0,0,0,0,0,0,1.09,7.65,0,0,3.28,19.67,0,1.09,0,0,5.46,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0.77,5.36,0.77,0,0.77,4.6,0.77,0,0,0.77,0,0,0,0,8.43,0,0,3.83,6.89,0,0.77,0.77,0,0.77,0,0.77,0,0,0,1.53,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,7.84,0,0,1.96,23.52,1.96,0,0,0,0,0,1.96,0,0,0,0,3.92,0
