stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,2,48,1,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,26,0,2,0,0,0,2,0,0,1,8,0,0,0,0,0
 24-34,0,0,197.83,0,2.46,0,17.24,0,0.82,0,0,0,0,0.82,0,0,5.75,0.82,0,4.93,34.48,0,0,0,0,1.64,0,0.82,0,0,10.67,0,0,1.64,0,0
 36-46,0,0,102.32,0,7.25,1.61,19.34,0,3.22,0,0,0,0,0.81,0,0,6.45,0,0.81,0,20.14,1.61,0,0,0,0.81,0,0,0,0,8.86,0,0,0.81,0,1.61
 48-58,0,0,76.32,0,6.31,0.57,25.25,0.57,2.87,0,0,0,0,0,0,0.57,1.15,0,0,0.57,13.77,0.57,0,0,0,0.57,0,0,0,0,3.44,0,0,1.15,0,0.57
 60-70,0,0,53.98,0,2.94,0.98,19.63,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0.98,7.85,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0.98,0,0
 72-82,0,0,69.7,0.98,2.94,0,27.49,0,1.96,1.96,0,0,0,0,0,0,2.94,0.98,0.98,0,17.67,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.96,2.94,0
 84-94,0,0,131.69,1.06,1.06,0,49.92,0,0,1.06,0,0,0,1.06,1.06,0,3.19,2.12,0,2.12,7.43,1.06,0,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,140.98,0,1.09,2.19,37.16,0,3.28,5.46,1.09,0,1.09,0,0,0,4.37,2.19,0,0,6.56,7.65,0,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,160.09,0,3.06,2.3,58.98,0,1.53,1.53,0,0,1.53,0,0,0,6.13,0.77,0,0.77,8.43,0.77,0,0,0,0.77,0,0,0,0,0,1.53,0.77,2.3,0,0.77
120,0,0,141.1,1.96,1.96,1.96,45.08,0,0,0,0,3.92,0,0,0,0,1.96,1.96,0,5.88,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
