stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,37.76,6.29,0,0,6.29,0,6.29,0,0
 14-21,0,1,0,5,0,40,0,0,0,0,0,2,0,13,3,1,9,3,0,27,1,94
 24-34,0,0.82,0.82,2.46,0.82,36.94,0,0,0,0,0,1.64,0,17.24,0.82,8.21,2.46,0,0,18.06,2.46,92.76
 36-46,0,0,0,0.81,0,21.75,0,0,0.81,0,0,0,0,17.72,0,11.28,0,0,0,10.47,0,47.53
 48-58,0,0,0,0,1.72,17.79,0.57,0,0,0.57,0.57,0.57,0,10.33,0,9.18,2.3,0,0,1.72,0,37.3
 60-70,0,0,0,0,0,16.69,0,0,0,0.98,0.98,0,0,6.87,0,6.87,6.87,0,0,0.98,0,18.65
 72-82,0,0,0,0,3.93,11.78,0,0,0,2.94,0.98,0,0,17.67,0,19.63,8.83,0,0,0.98,0,6.87
 84-94,0,1.06,0,0,5.31,13.81,1.06,0,0,3.19,0,0,0,9.56,0,7.43,15.93,0,0,5.31,0,12.74
 96-106,0,0,0,0,2.19,6.56,0,0,0,5.46,1.09,2.19,0,3.28,0,22.95,13.11,0,2.19,1.09,0,10.93
108-118,0,0,0,0,1.53,10.72,0,0,0,3.06,1.53,0.77,0,6.89,0,16.85,9.19,0,0,3.06,0,7.66
120,0,0,0,0,0,3.92,0,0,0,1.96,1.96,3.92,1.96,5.88,0,15.68,7.84,0,0,1.96,0,3.92
