stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,297,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,25,1,0,2,2,0,0
 24-34,0,0,0.82,91.94,2.46,0.82,0.82,0,0,0,0.82,0,0,1.64,1.64,1.64,22.98,0.82,0.82,135.44,0,0,1.64,0.82,0,0
 36-46,0,0.81,0,31.42,2.42,12.89,1.61,0,0,0,1.61,0,0,1.61,0.81,4.03,16.11,0.81,0.81,103.93,0,1.61,0,1.61,0.81,0
 48-58,0,0,0,4.02,0.57,6.31,0,0,0,0.57,0,0,0,1.15,0,0.57,7.46,0,0,30.99,0,0,0,0,0,0.57
 60-70,0,0,0,17.67,4.91,5.89,0,2.94,0,0.98,0,0,0,3.93,0.98,0.98,13.74,0,0,39.26,0,0,0,1.96,0,0
 72-82,0,0,0,7.85,1.96,1.96,0,0,5.89,0,0,0,0,8.83,0,0.98,12.76,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,1.06,0,27.61,1.06,0,0,0,4.25,0,0,0,0,2.12,0,1.06,2.12,0,0,8.5,0,0,0,0,0,0
 96-106,0,0,0,33.88,3.28,2.19,0,0,6.56,0,3.28,0,1.09,5.46,0,0,3.28,0,0,22.95,0,0,0,0,0,0
108-118,0,0,0,21.45,0,2.3,0,0.77,10.72,0.77,1.53,0,3.06,6.13,0,0,4.6,0,0,15.32,0,0.77,0,0,0,0
120,0,0,0,27.44,0,0,0,0,9.8,0,0,1.96,0,7.84,0,0,3.92,0,0,5.88,0,0,0,0,0,0
