stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,1,0,8,0,0,4,3
 24-34,0.82,0,0,0,1.64,0,12.31,0,0,0,1.64
 36-46,0,0,2.42,0.81,0,0,6.45,0,0,0,1.61
 48-58,0,0,1.15,0.57,0.57,0,4.59,0,0,0,1.72
 60-70,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,2.94,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,0,0
108-118,0,0.77,2.3,2.3,0.77,0.77,1.53,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0
