stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,1,0,0,0,0,0,0,0,0,1,11,0,0,1,0,1,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0.82,0,0,0,1.64,0,0,31.19,0,0,0,0,0,0,9.85,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,1.61,0,2.42,17.72,0.81,0,0,0,0,0,3.22,0,0,0,0
 48-58,0.57,0.57,0,6.89,0,2.87,0,0,0,0,4.59,0.57,1.15,20.66,0,0,0,0,0,0,2.87,0,0.57,0,0.57
 60-70,0,0,0,7.85,0,2.94,0,0,0,0,3.93,0,0.98,21.59,0,0.98,0,0.98,0,0.98,1.96,0.98,0,0,0
 72-82,0,0.98,0,9.82,0,0.98,0,0,0,0,4.91,0,0.98,15.71,0,0,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,3.19,0,1.06,0,0,0,0,3.19,0,0,3.19,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,1.09,0,0,1.09,1.09,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0,0,0,0,0,0,3.83,0,0,1.53,0,0,0,1.53,0,0,0,0.77,0,0.77,0
120,0,0,0,3.92,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
