stage,axial,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,2,0,1,98,0,0,0,0
 24-34,0,0.82,0.82,1.64,0,0.82,0,0,0,0,0,2.46,0,1.64,0,0.82,12.31,2.46,2.46,8.21,0,0,41.86,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0,12.89,0,0,8.06,0,0,20.14,0,0,0,0
 48-58,0,0,0.57,1.15,0,0.57,0,0,0,0,0.57,1.15,0,1.72,0,0,8.61,0,0.57,9.18,0,0,19.51,0,1.15,0,0
 60-70,0,0,0,3.93,1.96,2.94,0,0,0,0,0,1.96,0,3.93,0,0,11.78,0,0.98,1.96,0,0,16.69,0,3.93,0,0
 72-82,0,0,0,4.91,0,0,4.91,0,0.98,0,0,3.93,0,8.83,0,0.98,10.8,0,0,22.58,0,0,18.65,0,2.94,0,0
 84-94,0,0,3.19,2.12,0,3.19,8.5,0,0,0,0,9.56,0,5.31,0,1.06,10.62,0,2.12,16.99,0,0,10.62,1.06,3.19,1.06,0
 96-106,0,0,0,4.37,1.09,8.74,15.3,0,0,0,0,8.74,0,3.28,1.09,1.09,6.56,0,4.37,31.69,0,0,13.11,0,5.46,1.09,0
108-118,0,0,2.3,3.83,0.77,1.53,23.74,0,0,0.77,0,6.13,0.77,2.3,0,0,9.96,0,5.36,19.92,0.77,0,10.72,0,1.53,0,0.77
120,1.96,3.92,0,1.96,0,1.96,11.76,0,0,1.96,0,1.96,0,3.92,1.96,0,9.8,0,3.92,17.64,1.96,0,13.72,0,1.96,0,0
