stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,12.59,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,70,17,9,0,2,0,9,5,1,3,0,1,0,1,0,0,14,0,0,5,98,6,0,4,3,0,21,2,7,1,1,7,51,0,0,13,0,0
 24-34,0,0.82,0,94.4,1.64,4.93,0,7.39,0.82,7.39,2.46,0,3.28,4.1,0.82,0.82,7.39,0.82,0,34.48,0,0,31.19,128.05,3.28,3.28,7.39,0,0,18.88,0,0.82,0,0,0,45.97,0,0,33.66,0,0.82
 36-46,0,0,0,32.23,1.61,8.86,0,3.22,1.61,17.72,3.22,0,5.64,19.34,0,0.81,12.09,0,0,95.87,0,2.42,31.42,95.07,4.83,2.42,4.83,0,0,23.36,0.81,0.81,0,4.03,0,33.03,0,0.81,33.84,0,0.81
 48-58,1.15,0,0,24.1,0.57,12.05,0.57,1.15,3.44,23.53,0.57,8.03,4.59,25.25,0,0,9.75,2.3,0.57,177.88,0,1.72,21.23,48.77,0.57,2.3,5.74,0,0,14.92,0,0,1.15,1.72,0,9.18,0,0,25.82,0,0.57
 60-70,0,0,0,29.45,0,21.59,1.96,5.89,2.94,45.15,0.98,5.89,3.93,34.35,0,0,4.91,0,0,378.87,0.98,3.93,25.52,64.78,0.98,0.98,5.89,0,0.98,32.39,0,0,0,0,0,10.8,0,5.89,36.32,0,0.98
 72-82,0,0,0,52.03,0.98,39.27,3.93,3.93,7.85,31.41,0,6.87,8.83,47.12,1.96,0.98,11.78,0.98,0,613.54,2.94,8.83,37.3,78.53,0.98,1.96,14.72,0,0.98,19.63,0,0,0,0,0,8.83,0.98,22.58,40.25,5.89,0
 84-94,0,0,0,108.33,2.12,31.86,3.19,10.62,3.19,28.68,4.25,8.5,10.62,58.41,5.31,1.06,15.93,1.06,0,437.56,1.06,8.5,39.3,62.66,0,1.06,13.81,0,1.06,95.58,0,0,0,4.25,0,7.43,1.06,14.87,46.73,3.19,1.06
 96-106,0,0,0,137.7,3.28,25.14,8.74,12.02,6.56,29.51,6.56,0,13.11,79.78,0,1.09,16.39,1.09,0,454.62,4.37,17.49,48.09,75.41,2.19,8.74,27.32,0,1.09,60.11,0,0,1.09,4.37,0,0,3.28,24.04,80.87,3.28,0
108-118,0.77,0,0,176.17,4.6,13.02,15.32,39.06,12.26,24.51,7.66,0,6.89,45.96,1.53,3.83,10.72,3.06,0,430.47,5.36,6.13,34.47,116.43,5.36,1.53,22.21,0,1.53,85.02,0,0,0.77,3.06,0,2.3,2.3,19.92,52.85,3.06,1.53
120,1.96,0,0,190.1,0,19.6,15.68,35.28,5.88,31.36,3.92,0,13.72,64.67,0,0,9.8,5.88,0,311.61,3.92,3.92,33.32,86.23,0,5.88,19.6,0,1.96,74.47,0,0,0,3.92,0,3.92,0,11.76,62.71,3.92,0
