stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,44,0,1,0,0,0,2,1,1,1,0,9,0,0,0,0
 24-34,0,0.82,0,0.82,0.82,0,15.6,0,0,0,0.82,0,0,0,0,4.1,0,1.64,80.44,0,2.46,0.82,0,0,2.46,0,0,0,0.82,15.6,0,2.46,0,0
 36-46,0,0,0,0,0,0,29.81,0,0,0,1.61,0,0,0,0,4.83,1.61,0,60.43,0,1.61,0,0,0,0.81,0,0,0,0,8.06,0,0,0,0
 48-58,0,0,0,0,0.57,0,40.74,0,0.57,0,2.3,0,0,0,0,9.75,1.15,2.87,30.99,0,0,0.57,0,0,0,0,0,0,0,2.3,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,32.39,0,0,0.98,1.96,0,0,0,0,7.85,0.98,1.96,26.5,0.98,0,0,0,0,4.91,0,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,11.78,0,0,0,2.94,0,1.96,0.98,0,11.78,0,1.96,18.65,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,12.74,1.06,1.06,0,7.43,2.12,0,2.12,0,3.19,0,4.25,11.68,0,1.06,0,0,2.12,2.12,0,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,0,10.93,0,0,0,2.19,0,0,12.02,0,3.28,0,0,9.84,0,1.09,0,0,0,5.46,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0,1.53,0,6.89,0,0,0.77,4.6,1.53,0,5.36,0.77,5.36,0.77,0,13.02,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,1.53,0.77,0
120,0,0,0,0,1.96,1.96,11.76,0,0,0,1.96,1.96,0,5.88,0,5.88,0,1.96,11.76,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
