stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0
 36-46,0,0.81,0,0.81,4.03,0,0,0,0.81,0.81,12.09,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,1.72,2.87,0,0,0,6.31,0,17.21,0,0,0,0,0.57,1.72,0
 60-70,0,0,3.93,0,0.98,0.98,0,0,1.96,0,21.59,0.98,0,0,0,0,1.96,0
 72-82,0,0.98,7.85,0,1.96,0,0,0,1.96,0,30.43,0,0.98,0,0,0,0.98,0
 84-94,0,0,3.19,0,5.31,0,0,1.06,4.25,0,14.87,0,1.06,0,0,0,0,0
 96-106,0,0,8.74,0,2.19,0,0,0,3.28,0,14.21,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,1.53,0,0,0,0.77,0,8.43,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0
