stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.05,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,2,0,7,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,1,345,0,7,2,1,0,0,0,2,3,1,8,172,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,15.6,0,0,0,2.46,0.82,0,0,0,0,0,1.64,0,0,4.1,0,0,2.46,254.47,0,8.21,2.46,0,0,0,0,0,0,0,1.64,126.41,0,0,0,0,0
 36-46,0,0,0,0,0,0,199.81,0,0.81,0,15.31,0,0,0.81,0,0,0.81,0,0,0,7.25,0.81,0.81,4.03,907.99,0,7.25,4.03,0,0,2.42,0,0,0,0,0,82.98,0,0,0,0,0
 48-58,0,0,0,5.74,0,0,356.91,0,1.15,1.15,22.38,0.57,0,0,1.15,0,0.57,1.72,0,1.15,26.4,0.57,0.57,6.89,1153.92,0,2.87,3.44,0,0,3.44,0,0,0,0,0,109.02,0,0.57,2.87,0,1.72
 60-70,0,0,0,0.98,0,0,197.29,0.98,0,0,23.56,0,0.98,0,1.96,0,0,8.83,0,0,25.52,0,0.98,4.91,970.73,0.98,1.96,3.93,0,0.98,4.91,0,0,0,0,0,49.08,0,0,0.98,0.98,0.98
 72-82,0,0,0,8.83,0.98,0,168.85,0,1.96,4.91,24.54,0,0,0.98,0.98,0.98,0,10.8,0,0,37.3,0,1.96,5.89,817.72,0,1.96,7.85,0,0.98,1.96,0.98,0,0,0,0,36.32,0.98,0.98,3.93,0,0
 84-94,0,0,0,21.24,1.06,0,146.56,1.06,1.06,3.19,20.18,1.06,0,0,1.06,2.12,1.06,15.93,1.06,0,20.18,2.12,2.12,3.19,468.36,0,5.31,12.74,0,0,3.19,0,0,1.06,0,0,24.43,0,4.25,3.19,1.06,0
 96-106,0,0,0,18.58,4.37,1.09,101.63,1.09,0,1.09,26.23,2.19,0,1.09,1.09,0,0,25.14,0,0,30.6,0,1.09,5.46,409.82,0,5.46,19.67,0,0,3.28,0,0,0,0,0,8.74,1.09,1.09,3.28,2.19,1.09
108-118,0,0,0,13.02,2.3,0.77,89.62,0.77,0.77,1.53,15.32,1.53,0,0.77,3.06,0,1.53,14.55,0.77,0,21.45,0,0.77,3.83,508.6,1.53,4.6,13.79,0,0,3.06,0,0,0.77,0,0,3.83,0,0,2.3,0,0
120,0,0,0,13.72,3.92,0,135.23,0,0,1.96,19.6,1.96,0,0,5.88,0,0,9.8,0,0,9.8,0,1.96,0,429.19,0,1.96,13.72,0,0,5.88,0,0,0,0,0,7.84,0,0,1.96,0,0
