stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,105.42,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,30.65,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,12.26,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,21.34,0.82,0.82,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,102.32,0,1.61,0,0,0,0,6.45,0,0
 48-58,0,0,0.57,0,0,12.62,0,0,0.57,0,0,0,0.57,0,0,1.72,0,0,0.57,159.52,0,0.57,0,0,0.57,0,6.89,0,0
 60-70,0,0,1.96,0.98,0,49.08,0,0,4.91,0,0,0,0,0.98,0,2.94,0,0,0,354.33,0,0.98,0,0,1.96,0,7.85,0.98,0.98
 72-82,0,0,1.96,1.96,0,97.18,0,0,7.85,0,0,0.98,0,0,0,2.94,0.98,0,0.98,443.71,0,5.89,0.98,0,0,0,6.87,0,0
 84-94,0,0,1.06,2.12,0,74.34,0,1.06,8.5,0,0,1.06,0,0,1.06,1.06,0,1.06,0,214.53,0,1.06,0,0,1.06,0,5.31,1.06,2.12
 96-106,0,0,1.09,1.09,2.19,56.83,1.09,1.09,6.56,1.09,0,1.09,0,0,1.09,1.09,0,0,0,218.57,0,3.28,0,0,1.09,1.09,1.09,1.09,1.09
108-118,0,0,0,4.6,0.77,43.66,0,0,4.6,0,0,0.77,0,0.77,0,3.06,0,0,0,225.96,0,4.6,0,0,0.77,0,0.77,0,0
120,0,0,0,3.92,0,43.12,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,274.37,0,0,3.92,0,3.92,0,3.92,1.96,0
