stage,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature
  7-9,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,2,0,0,0,0,0,5,2,13,0
 24-34,0,0,0,5.75,0,0,2.46,0.82,3.28,0,0.82,0,6.57,0.82,13.13,0
 36-46,0,0,0,1.61,0,0,3.22,1.61,1.61,0,2.42,0,0.81,0,4.83,0
 48-58,0,0,0.57,4.59,0,0.57,1.72,0.57,1.72,0,0,0,0.57,0,8.03,0
 60-70,0,0,0,7.85,0,0,2.94,1.96,2.94,0,2.94,0,0.98,0,3.93,0
 72-82,0,0,0,6.87,2.94,0,0,0.98,5.89,0,4.91,0,0,0,5.89,0
 84-94,0,0,1.06,7.43,0,0,2.12,3.19,2.12,0,12.74,1.06,2.12,0,2.12,0
 96-106,0,1.09,0,5.46,0,0,2.19,2.19,9.84,0,8.74,0,0,0,3.28,0
108-118,0.77,0,1.53,3.06,1.53,0,0,1.53,5.36,0,9.19,0,1.53,0,3.06,0.77
120,0,0,0,3.92,0,0,1.96,1.96,5.88,0,3.92,0,0,0,0,0
