stage,blastomeres,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0,0,2
 24-34,0,0,0,0,0.82,0.82,2.46,0.82,0.82,0,0,0.82,1.64
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,2.3,0.57,0,0,0,0,0
 60-70,0,0,0.98,0.98,0.98,0,0,0,3.93,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,0,0.98,0,9.82,0,0,0,0
 84-94,0,0,1.06,2.12,0,0,1.06,0,19.12,0,1.06,0,0
 96-106,0,1.09,3.28,5.46,0,0,1.09,0,14.21,0,0,0,0
108-118,0,0,3.83,1.53,0,0,1.53,0,9.96,0,0,0,0.77
120,0,1.96,1.96,3.92,0,0,1.96,0,11.76,0,0,0,0
