stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,1,0,0,0,0
 24-34,0,0,2.46,0,0,0.82,0.82,0,0.82,0.82,0,0,0,0,0,1.64,10.67,0,0,0,0,0,0,0.82,0.82,3.28,0,0,0,0
 36-46,0,0,0,0,0,2.42,0.81,0,0,0,0,0,2.42,0,0,0.81,16.92,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0
 48-58,0,0,0.57,1.72,0,1.72,0.57,1.15,0,0,0,0,2.3,0,0,1.15,14.92,0,0,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,2.94,2.94,0,0.98,0,1.96,0,0,0,0,0.98,0,0.98,1.96,27.48,0,0,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,2.94,1.96,0,0,0,0,0,0,0,0,2.94,0,0.98,0,10.8,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98
 84-94,0,0,1.06,3.19,0,2.12,0,3.19,0,0,0,0,0,1.06,0,0,10.62,0,1.06,0,0,0,0,0,0,2.12,1.06,0,0,2.12
 96-106,0,0,1.09,2.19,0,0,0,1.09,0,0,1.09,1.09,2.19,0,0,0,9.84,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0,0,3.06,1.53,0.77,0.77,0,1.53,0,0,0,0,3.06,0,0,0.77,7.66,0,0,0,0,0,0,0.77,0,1.53,0,0,0.77,0
120,0,0,7.84,3.92,0,5.88,0,0,0,0,0,0,1.96,0,1.96,1.96,15.68,0,1.96,0,0,1.96,0,0,0,0,0,1.96,1.96,0
