stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,2
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,1.64,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,0,2.42,0.81,0,0,0,1.61,0,0,7.25,0,0,2.42
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,0,0.57,0,0.57,5.74,0,0.57,1.15
 60-70,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,2.94,3.93,0,0,2.94
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0.98,0,0,7.85,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,2.19,0,0,1.09
108-118,0,0,0,0,0.77,0,0.77,3.83,0,0,0,1.53,0,1.53,5.36,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0
