stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,5,70,0,0,0,0,0,2,0,15,0,0,0,0,6,0,0,0,27,1,10,0,2,0,1,2,0,3,5,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,2.46,0,0,0,0,0,0,5.75,0.82,0,0,0,0.82,0,0,0.82,25.45,0,10.67,0.82,0,0,0.82,0,0,0,10.67,0,0,9.03,0,0
 36-46,0,0,0,1.61,0,5.64,0,0,0.81,0,0,0,5.64,0,0,0.81,0,1.61,0,0,0.81,35.45,0,8.06,0,0,0,0,0,0,0,33.84,0,0,3.22,0,0
 48-58,0,0,0,0.57,0,17.21,0.57,0,0.57,1.72,0,0,4.02,0,0.57,0.57,0,1.15,0,0.57,0.57,32.71,0,2.87,0.57,0,0,0,0,0,0,40.74,0,0,2.87,0,0
 60-70,0,0,0,3.93,0,23.56,0,0.98,0,2.94,0,0,6.87,0,0,0,0,5.89,0,0,2.94,43.19,0,0.98,0,0,0,0,0,0,0,13.74,0.98,0,6.87,0,0
 72-82,0,0,0,5.89,0.98,25.52,0,0,0,5.89,0,0,13.74,0.98,0,1.96,0,10.8,0.98,0.98,0.98,50.06,0,0,0,0,0,1.96,0,0,0,13.74,0,0,5.89,0,1.96
 84-94,0,0,0,8.5,1.06,14.87,1.06,0,1.06,5.31,0,0,24.43,0,0,0,0,7.43,0,1.06,1.06,33.99,0,3.19,0,0,0,0,0,0,0,0,1.06,0,4.25,2.12,1.06
 96-106,1.09,0,0,8.74,1.09,8.74,0,0,0,4.37,2.19,0,26.23,0,0,0,3.28,5.46,1.09,0,3.28,22.95,0,1.09,0,0,0,0,0,0,0,4.37,8.74,0,9.84,0,0
108-118,0,0,0,6.89,4.6,9.19,2.3,0.77,0,8.43,2.3,0,22.21,0,0.77,0,0.77,8.43,0.77,0,3.06,21.45,0,3.83,0.77,0,1.53,1.53,0,0,0,3.06,8.43,0.77,5.36,0.77,0
120,0,0,0,11.76,13.72,7.84,3.92,1.96,0,5.88,1.96,0,37.24,0,1.96,0,0,3.92,1.96,0,1.96,43.12,0,3.92,0,0,0,0,0,0,0,7.84,9.8,0,17.64,0,0
