stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,77,18,0,26,0,0,0,10,7,1,1,1,3,0,0,0,0,28,0,0,20,265,12,1,5,7,0,5,69,6,4,76,96,0,0,3,0,0
 24-34,0,0,0,18.88,3.28,0,42.68,0,4.1,2.46,8.21,1.64,0,0,1.64,5.75,1.64,0.82,0,1.64,41.86,0.82,0,15.6,308.64,4.93,8.21,2.46,0,0,14.78,0.82,1.64,0,18.88,89.47,0,0,3.28,0,0.82
 36-46,0,0,0,7.25,0.81,0,75.73,0,2.42,0.81,12.89,0,0,0.81,0,1.61,0.81,0,0,0,33.03,0,0,7.25,383.5,4.03,4.03,2.42,0,0,18.53,0,1.61,0,0,75.73,0,0,1.61,0,4.83
 48-58,0.57,0,0.57,5.16,0,0,107.88,0,1.15,2.3,26.4,0.57,1.15,1.15,1.15,1.72,1.15,0,1.15,0.57,34.43,1.72,2.3,8.61,214.03,1.15,4.59,1.15,0,0,6.89,0,0,0,0,47.63,0,0,4.59,0,0.57
 60-70,0,0,0,11.78,0,0,190.42,0,2.94,0.98,44.17,0.98,0,0,0,0.98,0,0.98,1.96,0,28.46,0.98,1.96,6.87,246.36,0,5.89,0.98,0,0,4.91,0,0,0,0,36.32,0.98,0.98,3.93,0.98,0
 72-82,0,1.96,0,9.82,2.94,0,87.37,0.98,0.98,5.89,90.31,4.91,0,0,2.94,5.89,0.98,1.96,0,0,42.21,1.96,1.96,6.87,138.41,0,3.93,0.98,0,0,9.82,0,0.98,0,0,8.83,0.98,0.98,3.93,1.96,1.96
 84-94,0,0,1.06,10.62,1.06,0,83.9,1.06,2.12,1.06,48.85,4.25,1.06,0,1.06,6.37,0,2.12,0,2.12,38.23,2.12,1.06,5.31,82.84,4.25,6.37,1.06,0,2.12,35.05,0,1.06,1.06,0,8.5,0,1.06,2.12,1.06,1.06
 96-106,0,0,0,13.11,0,1.09,53.55,0,3.28,0,59.01,3.28,0,1.09,1.09,9.84,0,3.28,0,0,29.51,1.09,1.09,2.19,66.66,0,2.19,0,0,0,25.14,0,1.09,0,0,4.37,0,1.09,2.19,1.09,0
108-118,0,0.77,2.3,20.68,3.06,0.77,27.57,1.53,6.13,2.3,68.94,2.3,0,0,2.3,9.96,0.77,3.06,0.77,0,29.87,0.77,0,7.66,81.19,0.77,6.89,2.3,0,0.77,17.62,0,1.53,0,0,0.77,2.3,0,6.13,0.77,1.53
120,0,0,1.96,15.68,3.92,0,23.52,0,5.88,5.88,37.24,3.92,0,0,1.96,1.96,1.96,0,0,0,13.72,0,0,11.76,50.95,0,3.92,0,0,0,17.64,0,0,3.92,0,0,3.92,0,0,0,0
