stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,31.47,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,1,1,0,1,0,3,0,0,0,0,4,0,3,37,0,0,1,1,3,1,1,6,26,0
 24-34,0,0.82,0.82,0,1.64,2.46,0,0,0,0.82,3.28,0,1.64,67.31,0.82,0,0,2.46,0,0,0,0.82,17.24,0
 36-46,0,0,0,0,4.83,1.61,0,0,0,0,1.61,0,1.61,24.17,0,0,0,0.81,0,0,0,0,13.7,0.81
 48-58,0,0,1.15,0,8.03,3.44,0,0,0,0,2.87,0,0.57,25.25,0,0,0,1.72,0,0,0,0,3.44,0
 60-70,0,0,0,0,2.94,1.96,0,0,0,0,0.98,0.98,0,9.82,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,2.12,2.12,0,0,0,0,0,0,0,5.31,0,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,4.37,0,0,0,4.37,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0
