stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.41,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0
 14-21,0,11,0,13,0,0,0,18,0,0,0,0,0,0,5,0,0,5,233,1,0,0,0,0,0,1,0,0,0,93,0,0
 24-34,0,12.31,0,23.8,0,1.64,0,41.04,0,0.82,0,0.82,0.82,0.82,18.88,0.82,0,9.03,485.95,0,0,0.82,0,0,0.82,0,0,1.64,0.82,123.95,0,0
 36-46,0,6.45,0,12.89,0,0,0.81,98.29,0,0,0,0,0,0,58.01,0,0,1.61,316.63,1.61,0,0.81,0,0,0.81,0.81,0,0,0,101.51,0,0
 48-58,0,4.59,0,11.48,0,0.57,0.57,122.22,0,0,0,0,0,0,116.48,0,0.57,2.87,116.48,0.57,0,0.57,0,0,0,0,0,0,0,68.28,0,0
 60-70,0,4.91,0,5.89,0,0.98,0,108.95,0,0,0,0,0,0.98,230.66,0,0,1.96,71.65,0.98,0,0,0,0,0.98,0,0,0,0,27.48,0,4.91
 72-82,0,7.85,0.98,15.71,0,0.98,0,149.21,0,0,0,0,0,0,312.17,0,0.98,0,53.01,0.98,0,1.96,0,0.98,0,0,0,0,0,8.83,0.98,6.87
 84-94,0,6.37,0,33.99,1.06,3.19,1.06,112.58,0,0,0,0,0,0,254.89,0,0,5.31,48.85,0,0,0,0,0,0,0,0,0,0,20.18,0,9.56
 96-106,0,16.39,0,16.39,0,1.09,0,131.14,0,0,1.09,0,0,0,125.68,0,1.09,0,44.81,0,0,0,0,0,0,0,0,0,0,7.65,0,4.37
108-118,0,9.19,0,10.72,0,0,0,101.11,0.77,0,0,0,0,0,61.28,0,0,2.3,42.13,1.53,1.53,0,0,0.77,0,0,0,0,0,6.89,0,2.3
120,0,1.96,0,9.8,0,0,0,101.91,0,0,0,0,0,0,52.91,0,0,0,54.87,0,1.96,3.92,0,0,0,0,0,0,0,1.96,0,1.96
