stage,axial,blastomeres,endocrine.pancreas,eye,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,5,0,0,0,0,4,0,0,0,9,1,1,2,0,0,0,1,4,1,17
 24-34,0,0,0,3.28,2.46,0.82,0,0,0,0.82,0,0,0,12.31,0,2.46,3.28,0,0,0,0,1.64,0,8.21
 36-46,0,0,0,0.81,3.22,0,0,0,0.81,0,0,0,0,9.67,0,1.61,1.61,0,0.81,0,0,0,0,7.25
 48-58,0,0,0,2.3,1.15,0,0,0.57,0,0.57,0,0,0,6.31,0,0.57,0,0,0,0,0,0.57,0,5.74
 60-70,0,0,0,2.94,0.98,0,0.98,0,0,0.98,0.98,0,0,3.93,0,1.96,0,0,0,0,0,0,0,2.94
 72-82,0,0,0,1.96,4.91,0.98,0,0,0,0.98,0,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0,4.91
 84-94,0,0,0,1.06,3.19,0,0,0,0,0,0,0,0,1.06,0,1.06,5.31,0,0,0,0,2.12,0,3.19
 96-106,0,0,1.09,2.19,4.37,1.09,0,0,3.28,1.09,0,1.09,1.09,4.37,0,4.37,3.28,0,0,0,0,0,0,1.09
108-118,0,0,0.77,1.53,0.77,0.77,0,0,0.77,0.77,0,0,0,1.53,0,2.3,1.53,0,0,0,0,0.77,0,0
120,0,0,1.96,1.96,5.88,0,0,0,3.92,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0
