stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0
 14-21,0,1,13,0,0,0,0,0,2,0,0,0,0,0,14,1,0,0
 24-34,0,0,4.1,0,0,0,0,0,1.64,0,0.82,0,0.82,0,32.01,0,0,0.82
 36-46,0,0,8.86,0,0,0,0,0,0,0,0,3.22,0,0,30.62,0,0,0
 48-58,0,0,4.59,0,1.15,0,0,0,0,0,1.15,2.87,0,0,18.36,0,0.57,0
 60-70,0,0,7.85,0,3.93,0,0.98,0,0,0.98,0,0.98,0,0,10.8,0,0,0
 72-82,0,0,5.89,0.98,1.96,0.98,0,0,0,0.98,0.98,2.94,0,0,25.52,0,0,0
 84-94,0,0,11.68,0,5.31,0,1.06,0,1.06,2.12,0,1.06,0,0,69.03,0,0,0
 96-106,0,0,16.39,0,6.56,2.19,0,0,1.09,1.09,3.28,2.19,0,0,73.22,1.09,0,1.09
108-118,0,0,14.55,0,8.43,0.77,0,0,0,3.06,3.06,0.77,0,0,35.23,0,0.77,0
120,0,0,23.52,0,7.84,0,0,1.96,0,0,0,0,0,0,25.48,0,0,0
