stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,1937.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,6,0,0,2,0,0,1,1,76,36,9,0,0,0,0,0
 24-34,0,0.82,0,0,6.57,0,0,9.03,134.62,9.03,0,0,0,0,0,0,0,0,0,0,9.03,0,0,17.24,64.85,1.64,0,0,0,0,2.46,0,0,107.53,68.95,11.49,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,7.25,140.99,2.42,2.42,1.61,0,0,0.81,0,0,0,0,0.81,10.47,0,1.61,7.25,45.92,0.81,0,0,0,0,0.81,0,0,63.65,4.03,7.25,0,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,12.05,78.61,3.44,10.9,5.16,0,0,0,0,0,0,0,0,26.97,0,0.57,8.61,47.05,1.72,0,0,0,0.57,0,0,0,36.15,0,4.59,0,0.57,1.15,0,1.15
 60-70,0,0,0,0,5.89,0,0,22.58,53.98,4.91,14.72,5.89,0,0,0.98,1.96,0,0,0,0,78.52,0,0.98,7.85,54.97,0,0,1.96,0.98,1.96,0.98,0,0,20.61,0,2.94,0,2.94,0,1.96,0.98
 72-82,0,0,0,1.96,4.91,3.93,0,55.95,42.21,0,40.25,14.72,0,0,0.98,7.85,0.98,1.96,0.98,0,141.36,0.98,2.94,12.76,77.55,0,0.98,8.83,0,6.87,0,0,0,12.76,0,6.87,0,1.96,1.96,5.89,0
 84-94,0,0,0,2.12,4.25,1.06,0,56.29,61.6,2.12,36.11,14.87,1.06,0,0,16.99,0,1.06,0,1.06,135.94,0,5.31,9.56,48.85,0,1.06,3.19,0,2.12,3.19,0,0,19.12,0,2.12,2.12,0,0,0,0
 96-106,0,0,0,2.19,18.58,4.37,0,73.22,63.39,0,15.3,22.95,0,0,2.19,9.84,0,2.19,0,0,148.63,0,1.09,5.46,65.57,0,0,3.28,0,7.65,0,0,0,24.04,0,1.09,0,1.09,2.19,6.56,0
108-118,0,0,0.77,9.96,9.96,1.53,0,49.79,61.28,4.6,33.7,22.21,0.77,0,3.06,13.79,0.77,1.53,0,0.77,124.85,1.53,0.77,15.32,53.62,0,0.77,4.6,0,11.49,0.77,0,0,20.68,0,0.77,0,0.77,0.77,3.06,0
120,0,0,0,1.96,7.84,1.96,1.96,33.32,45.08,0,9.8,15.68,0,0,1.96,9.8,0,0,0,0,154.82,0,0,15.68,64.67,0,0,3.92,0,13.72,3.92,0,0,11.76,0,3.92,0,0,0,3.92,1.96
