stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,79,0,0,0,0,0,0,0,0,1,2,0,51,0,0,0,1,5,0,3,9,0,0,0,0,5,2,20,42,21,2,0,0,0,0
 24-34,0.82,110.82,0,0,1.64,4.1,3.28,0.82,2.46,0,0,0.82,0,73.88,0.82,0,0,6.57,7.39,0,6.57,16.42,0,0,0,0,1.64,0,10.67,9.03,9.03,4.1,0,0,0.82,0
 36-46,0,20.95,0,0,0.81,4.03,0,0.81,0.81,0,0,0.81,0,15.31,0,0,0,4.83,6.45,0.81,0,15.31,0,0,0,0.81,1.61,0,5.64,4.03,0.81,0,0,0,0,0
 48-58,0,2.87,0,0,4.59,9.18,1.15,0,2.3,0,0,0.57,0.57,6.31,0,0,0.57,4.59,5.74,0,1.72,8.03,0,0,0,0,1.15,0,1.15,4.59,0,2.87,0,0.57,0,0
 60-70,0,3.93,0,0,1.96,11.78,0.98,0.98,1.96,0.98,0,0,0,11.78,0,0,0,5.89,3.93,0,0,11.78,0.98,0,0,0,4.91,0,1.96,3.93,0,0.98,0,0,0,0
 72-82,0,8.83,0.98,0,3.93,5.89,0.98,0,5.89,0,0,0,0,28.47,0,0.98,0.98,8.83,15.71,0,3.93,8.83,0,0.98,0,0,1.96,0,1.96,2.94,0,0,0,0,0,2.94
 84-94,0,14.87,1.06,0,2.12,9.56,8.5,0,4.25,0,1.06,0,0,48.85,0,0,0,4.25,5.31,1.06,3.19,4.25,0,0,0,0,8.5,0,9.56,3.19,0,1.06,0,0,0,4.25
 96-106,0,17.49,1.09,0,2.19,8.74,3.28,0,2.19,1.09,0,0,0,52.46,0,0,0,7.65,13.11,0,1.09,12.02,0,0,0,0,13.11,0,13.11,6.56,0,2.19,0,0,1.09,4.37
108-118,0,13.02,0.77,0.77,3.83,15.32,4.6,0,3.06,0.77,0,0,0.77,40.6,0,0.77,0.77,8.43,6.89,0,3.83,9.19,0,0,0,0,9.96,0,6.89,3.06,0,0.77,0.77,0,0.77,4.6
120,0,7.84,0,0,1.96,21.56,3.92,0,0,1.96,0,1.96,0,37.24,0,0,0,0,3.92,1.96,0,3.92,0,0,0,0,7.84,0,7.84,1.96,0,0,0,0,0,1.96
