stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,23.66,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,4,31,1,0,1,1,0,0,1,0,0,0,2,0,0,0,6,0,0,2,14,0,0,0,0,20,0,8,3,0,5,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,2.46,1.64,0,0,1.64,0,0,0,2.46,0.82,0,0,1.64,0.82,0,2.46,25.45,0,4.93,2.46,0,39.4,0,0,4.1,2.46,9.03,0,0,0,0,0
 36-46,0,0,0,0,6.45,0,0,0,0.81,0,0.81,0.81,0,0.81,0,1.61,1.61,0,0,5.64,0,0,1.61,29,0,4.83,2.42,0,36.26,0,0,3.22,0,7.25,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,0,4.02,2.87,0,3.44,0,0.57,0.57,0,0,1.15,0,0.57,6.89,0.57,0,0,30.99,1.72,2.3,2.3,0,30.41,0,0,1.15,0,5.74,0,0,0,0,0
 60-70,0,0,0,0.98,8.83,0,0,2.94,1.96,0,0.98,0,0,0,0,0,3.93,0,0,6.87,0.98,0,0.98,38.28,0,0.98,0,0,41.22,0,0,1.96,0,0.98,0,0.98,0,0,0.98
 72-82,0,0,0,0,11.78,0,0.98,4.91,0.98,1.96,0.98,4.91,0,0,0,1.96,2.94,0,0,5.89,0.98,0,1.96,16.69,0,1.96,0,0,36.32,0,0,2.94,0,0.98,0.98,0,0,0,0.98
 84-94,0,0,1.06,0,12.74,0,0,9.56,0,1.06,0,7.43,1.06,0,0,4.25,0,0,0,6.37,0,1.06,1.06,21.24,4.25,1.06,2.12,0,92.4,0,0,3.19,0,3.19,1.06,0,0,0,0
 96-106,0,0,2.19,0,25.14,0,0,8.74,6.56,0,4.37,5.46,0,0,3.28,5.46,9.84,0,0,2.19,3.28,0,2.19,12.02,2.19,6.56,3.28,0,104.91,0,0,3.28,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,25.28,0.77,0.77,1.53,0.77,0,0,5.36,0,0,0.77,4.6,0,0.77,0,5.36,0,0,0,10.72,1.53,2.3,3.06,0,56.68,0,0,0,0,0,3.06,0,0,0,0.77
120,0,0,0,0,11.76,0,0,0,1.96,0,1.96,7.84,0,0,0,1.96,0,0,0,1.96,3.92,0,0,11.76,0,1.96,3.92,0,47.03,0,0,1.96,0,1.96,0,0,0,0,0
