stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,90.29,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,4.83,0,1.61,0,0,0,0.81,0,0,1.61,0,0,0,0,160.33,0,0,0,0,1.61,0,0,0,0
 48-58,0,45.9,0,4.59,0,1.15,0.57,0,0,0,6.31,1.15,0.57,0,0.57,76.89,0,1.15,0,0,2.87,0,0,0,1.72
 60-70,0.98,126.62,0,12.76,0,0.98,0,0,0,0,0.98,2.94,0.98,0,0,183.54,0,2.94,0,0.98,2.94,0,0,0,0.98
 72-82,1.96,208.11,0,15.71,0,0.98,0,0,0,0,3.93,9.82,1.96,0,0,165.9,0,11.78,0,0,2.94,0.98,0,0,4.91
 84-94,0,135.94,1.06,10.62,1.06,0,0,1.06,0,0,4.25,1.06,0,0,0,67.97,0,11.68,0,0,5.31,1.06,0,0,5.31
 96-106,3.28,169.39,0,13.11,1.09,0,1.09,1.09,6.56,1.09,0,7.65,1.09,1.09,0,72.13,0,15.3,0,0,1.09,1.09,1.09,1.09,5.46
108-118,3.83,105.7,1.53,8.43,0,0,0.77,0.77,0.77,0,0,7.66,0,0,0,79.66,0,13.02,0,0,3.06,0.77,0,0.77,6.89
120,3.92,88.19,0,7.84,0,0,0,1.96,0,0,0,9.8,0,0,1.96,86.23,1.96,11.76,0,0,1.96,1.96,0,0,1.96
