stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,36.78,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,28.92,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,1,2,8,1,0,0,0,0,0,0,2,0,0,0,12,0,0,4,1,4,0,0,16,0,14,2,0,0,1,0,1,2,0,0,0,0
 24-34,0,0,0,12.31,4.1,0,0,0.82,0,0,0,0,6.57,0.82,0,0,31.19,0,0,9.85,0.82,28.73,0,0,45.97,0,21.34,2.46,0,0.82,0,4.1,0,6.57,0,0.82,0,0
 36-46,0,0,0,2.42,3.22,0,0,2.42,0,0,0,0.81,10.47,0,0.81,0.81,8.86,0,0,7.25,0.81,33.03,0,0,41.89,0,13.7,0,0,1.61,0.81,1.61,0,2.42,0,0,0,0
 48-58,0,0,1.72,0.57,3.44,0,0,6.89,0,0.57,0,1.15,41.31,9.18,0,0,8.03,0,0,3.44,0.57,30.41,0,0,25.82,0,15.49,0,0,0.57,0,2.3,0,1.15,0,0,0,0.57
 60-70,0,0,2.94,0,1.96,0,1.96,7.85,0,0.98,0,3.93,42.21,3.93,0,0,0,0,0,7.85,2.94,21.59,0.98,0,19.63,0,14.72,0.98,0,0,0,4.91,0,2.94,1.96,0,0,0
 72-82,0,0,18.65,0,2.94,0,8.83,9.82,0,1.96,1.96,2.94,205.17,1.96,0,0.98,7.85,0,0,11.78,4.91,51.05,0,0.98,26.5,0,15.71,0,0,2.94,0,0.98,0,0.98,0.98,0.98,0,0
 84-94,0,0,13.81,0,21.24,1.06,5.31,6.37,0,3.19,0,0,404.64,6.37,0,2.12,8.5,1.06,1.06,44.61,4.25,37.17,1.06,2.12,40.36,0,74.34,2.12,0,6.37,1.06,10.62,0,1.06,2.12,0,0,0
 96-106,0,0,14.21,0,20.76,1.09,22.95,10.93,0,1.09,1.09,1.09,543.14,0,0,1.09,5.46,2.19,0,69.94,4.37,45.9,0,0,49.18,0,86.33,2.19,0,5.46,0,3.28,0,1.09,3.28,0,1.09,0
108-118,0,0,3.83,0,16.09,0.77,29.11,3.83,0.77,0,0.77,2.3,526.98,0,0,2.3,6.13,1.53,0.77,157.79,7.66,32.17,0,0.77,45.19,0.77,52.85,0.77,0,3.83,0.77,10.72,0,0.77,4.6,2.3,0,0
120,0,0,7.84,1.96,5.88,0,5.88,9.8,0,1.96,1.96,0,248.89,0,0,1.96,0,0,0,54.87,7.84,23.52,0,0,23.52,0,27.44,1.96,0,1.96,0,7.84,0,0,5.88,0,0,1.96
