stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,49.04,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,5.26,0,0,0,23.66,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,420.59,5.26,0,0,160.35,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,31.47,0,6.29,0,47.2,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,462.6,6.29,0,0,195.11,0,3.15,3.15,22.03,0,0,0,0,0,0
 14-21,0,0,0,10,51,10,0,53,0,0,0,10,1,0,1,0,3,0,0,0,36,0,0,28,576,17,2,5,19,10,0,53,2,48,160,0,1,0,0
 24-34,0,0,0,3.28,26.27,3.28,0,351.33,0.82,0.82,0,30.37,1.64,0,0.82,0.82,0.82,1.64,1.64,5.75,160.89,0.82,0,44.33,1560.45,3.28,9.03,18.06,0,14.78,0,0.82,1.64,7.39,311.93,0,17.24,0,3.28
 36-46,0,0,0,2.42,17.72,4.03,0,595.39,0,0,0.81,20.95,0.81,0,0.81,4.03,0.81,2.42,0.81,2.42,113.6,0,5.64,24.17,990.17,4.03,5.64,4.03,0,16.92,0,0.81,0,0,208.67,0,10.47,0,0
 48-58,0,0,0,1.15,11.48,1.72,0,575.53,0,1.15,0.57,24.67,0.57,0,0.57,0.57,1.15,4.02,2.3,0,107.3,0,3.44,9.18,365.51,0.57,1.15,4.59,0,2.87,0,0,0.57,0,43.04,0,3.44,0,0.57
 60-70,0,0,0,0,14.72,0.98,0,454.44,0,0,1.96,33.37,5.89,0,0.98,1.96,0,0.98,2.94,1.96,83.43,0,5.89,17.67,203.18,0.98,1.96,3.93,0,0.98,0,0,1.96,0,11.78,0,5.89,0.98,0.98
 72-82,0,0,0.98,0,14.72,0.98,0,136.45,0,0,0.98,26.5,2.94,0,0,0,0,0,0,0.98,64.79,0.98,0.98,15.71,121.73,0.98,2.94,1.96,0,0.98,0,0,0,0,5.89,1.96,3.93,0,0
 84-94,0,0,0,0,24.43,3.19,1.06,108.33,0,0,1.06,20.18,8.5,0,1.06,6.37,1.06,1.06,2.12,1.06,64.78,0,8.5,20.18,89.21,1.06,2.12,1.06,0,5.31,0,0,0,0,1.06,1.06,11.68,0,0
 96-106,0,0,0,0,16.39,2.19,0,68.85,0,0,0,13.11,3.28,0,0,6.56,0,0,0,0,32.79,0,0,4.37,62.29,0,2.19,4.37,0,1.09,0,0,0,0,4.37,0,4.37,2.19,0
108-118,0,0,0,0,6.89,8.43,0,60.51,0,0,0,15.32,2.3,0,0.77,3.83,1.53,1.53,0.77,0,16.09,0,5.36,6.13,81.19,0.77,0,1.53,0,0,0,0,0,0,0.77,0.77,4.6,0,0
120,0,0,0,0,7.84,13.72,0,135.23,0,0,3.92,25.48,1.96,0,0,7.84,0,1.96,1.96,1.96,19.6,0,1.96,11.76,172.46,1.96,0,5.88,0,3.92,0,0,0,0,1.96,0,5.88,0,0
