stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,2,2,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,1,2,0,0,0
 24-34,1.64,0.82,0,0,1.64,0,0.82,0,0,0,0.82,2.46,5.75,11.49,0,0,0,0,1.64,5.75,0,0.82,0
 36-46,0.81,1.61,0,0,1.61,0.81,0,0,0.81,0,0,7.25,3.22,6.45,1.61,0,0,0,0,2.42,0,0,0
 48-58,0,2.87,0,0,0.57,0.57,0,0,0,0.57,0,5.16,1.72,5.16,0.57,0,0,0,0,1.15,0.57,1.15,0.57
 60-70,0,1.96,0,0,0,1.96,0,0,0,0,0,3.93,0,4.91,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,0,0.98,0,0,13.74,0.98,2.94,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,2.12,1.06,3.19,0,1.06,0,1.06,0,0,0,10.62,0,1.06,3.19,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,7.65,0,3.28,0,1.09,0,0,0,1.09,0,1.09,0
108-118,1.53,1.53,0,0,0,0,0,0,0,0,0,6.13,0,2.3,0,0,0,0,0,0,0.77,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,3.92,1.96,0,1.96,0,0,0,0,0,0
