stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,9.44,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,1,2,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,37,1,0,1,1,0,0,0,1,0,3,7,0,0,1,0,0
 24-34,0,0,0,0,6.57,0,1.64,3.28,0,0.82,0,0.82,0,0.82,0,0,5.75,0.82,0,4.1,78.8,0.82,1.64,1.64,0,0,1.64,0,0,0.82,0,22.16,0,0,0.82,0,0
 36-46,0,0,3.22,0,20.95,0,0.81,8.06,0,0,0,0,0,0,0,0,16.11,0,2.42,3.22,146.63,0,1.61,0.81,0,0,0,0.81,0,0,0,43.51,0,0,0.81,0,0
 48-58,0,0,0,0,21.8,0,0,9.18,0,0,0,0,0,0,0,0,15.49,0,0.57,2.3,69.43,0,1.72,0,0,0.57,1.15,0,0,0,0,20.08,0,0,0,0,0.57
 60-70,0,0,0,0,55.95,0,2.94,10.8,0,0,0.98,0.98,0,0,0.98,0,26.5,0,0,0.98,92.26,0,0.98,0.98,0,0,2.94,0,0,0,0,21.59,0,0,0,0,0
 72-82,0,0,1.96,0.98,102.09,0,0.98,6.87,1.96,0,0,0,0,0,0,0.98,15.71,0,0,0.98,45.16,0,0.98,0.98,0,0,0,0,0,0,0,4.91,0,0.98,0.98,0.98,0.98
 84-94,0,0,3.19,0,87.09,0,0,4.25,1.06,1.06,0,0,0,0,0,0,12.74,0,0,1.06,23.36,0,0,3.19,0,0,3.19,0,0,1.06,0,2.12,1.06,0,3.19,0,0
 96-106,0,0,4.37,2.19,85.24,0,0,8.74,3.28,0,2.19,0,0,0,0,0,17.49,0,0,0,17.49,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,2.19,1.09,1.09
108-118,0,0,2.3,0,72,0,0.77,5.36,0.77,0,1.53,0,2.3,0,0,0.77,12.26,0,0,2.3,22.21,0,0.77,1.53,0,0,0.77,0,0,0,0,0.77,0,1.53,0.77,0,0
120,0,0,0,0,80.35,0,1.96,0,3.92,0,0,0,0,0,0,0,17.64,0,0,0,17.64,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,1.96
