stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,40.91,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,4,0,0,0,40,0,0,0,0,0,1,19,0,8,0,0,0,37,96,0,0
 24-34,0,0,0,0.82,0.82,0,0,31.19,0,0,0,0,0,1.64,18.06,8.21,2.46,0,0,0,4.1,55,0,0
 36-46,0,0,0,0,0,0,0,17.72,0,0,0,0,0,0.81,12.89,12.09,0.81,0,0.81,0,7.25,39.48,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,16.64,0,0,1.15,0,0.57,0.57,14.35,11.48,0.57,0,0.57,0,1.15,28.69,0,0
 60-70,0,0,0,0.98,0,0,0,12.76,0,0,0,0.98,0,0.98,8.83,13.74,4.91,0,0,0,0.98,21.59,0,0
 72-82,0,1.96,0,0,3.93,0,0,15.71,0,0,1.96,0,0,0.98,4.91,14.72,3.93,0,0,0,0.98,8.83,0,0
 84-94,0,1.06,0,0,1.06,0,1.06,13.81,3.19,0,1.06,0,0,2.12,2.12,11.68,3.19,0,0,1.06,2.12,4.25,0,0
 96-106,0,2.19,1.09,1.09,1.09,0,0,14.21,0,0,5.46,0,0,2.19,2.19,24.04,12.02,0,0,0,0,3.28,1.09,0
108-118,0,0.77,0,0,0.77,0,0,10.72,0,0,3.83,0.77,0,3.06,1.53,10.72,5.36,0,0,0,0,3.83,0.77,0
120,0,0,0,0,1.96,0,0,3.92,0,1.96,3.92,0,0,1.96,5.88,5.88,3.92,0,1.96,0,0,0,0,0
