stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,18,0,0,1,0,0,0,1,3,0,1,0
 24-34,0,0,0.82,0.82,0.82,0,4.1,0,0,0,0.82,0,0,0,0,1.64,0,100.97,0.82,0,0.82,0,0,0,0,23.8,0,4.1,0
 36-46,0,0,0,0,0,0,1.61,0,0,7.25,1.61,0,0,0,0.81,5.64,1.61,189.33,0,0.81,0.81,0,0,0.81,0,34.64,0,3.22,0.81
 48-58,0.57,0,0,0,0,0,14.92,0,0,12.62,0,0,0,0,0.57,6.31,1.72,115.91,0,0,1.15,0,0,0.57,0,22.95,0,0,0
 60-70,0,0,0,1.96,0,0,58.89,0,0,11.78,0,0,0,0,0,10.8,0.98,171.77,0,0.98,0.98,0,0,0,0,15.7,0,0.98,0
 72-82,0,0,0,0,0,0.98,33.38,0,0,5.89,0,0,0,0,0,7.85,2.94,97.18,0,0,0,0,0,0,0,3.93,1.96,0,0
 84-94,0,0,1.06,2.12,0,0,31.86,0,1.06,7.43,0,0,0,0,0,7.43,0,57.35,1.06,0,1.06,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,22.95,0,0,4.37,0,1.09,1.09,1.09,0,7.65,3.28,42.62,1.09,0,0,0,0,0,0,2.19,2.19,4.37,0
108-118,0,0,0,1.53,0.77,0,11.49,0.77,0,4.6,0.77,0,0,0,0.77,9.96,0.77,53.62,0.77,0,0,0,0.77,0,0,1.53,0.77,0.77,0
120,0,0,0,0,0,0,5.88,0,0,7.84,1.96,0,0,0,0,7.84,0,35.28,0,0,0,0,0,0,0,0,0,0,0
