stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,60.74,0,0,0,0,0,0.82,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0.81,0.81,0.81,0,0.81,0,0,0,0,117.63,0,0.81,0,0,0,1.61,0.81,0,14.5,0,0,0,0,0,1.61,0,2.42,0,0.81,0,0
 48-58,0,0.57,1.15,7.46,0.57,0,0,0.57,0,0,119.35,0,0,0,0,0.57,8.61,0,2.87,18.94,0,0,0,0,0,1.72,0,3.44,0.57,0.57,0,1.15
 60-70,0,1.96,0,12.76,0,0,0.98,3.93,0,0,152.14,0,0,0,0,0,11.78,0,0.98,29.45,0,0,0,0,0,1.96,0,4.91,0,0,0,0
 72-82,0,1.96,3.93,7.85,0,0.98,0.98,2.94,0,0.98,164.92,0.98,0.98,0,0,0,23.56,0,0.98,24.54,0.98,0.98,0,0,0,1.96,0.98,0.98,0.98,0,0.98,0
 84-94,1.06,4.25,1.06,7.43,0,0,0,2.12,0,0,213.47,0,1.06,0,0,0,11.68,0,1.06,5.31,1.06,0,2.12,0,0,3.19,0,1.06,1.06,0,0,0
 96-106,0,4.37,3.28,13.11,0,0,0,5.46,1.09,0,217.48,0,1.09,2.19,1.09,0,19.67,2.19,2.19,16.39,0,2.19,0,0,0,5.46,0,1.09,0,1.09,2.19,0
108-118,0,4.6,3.06,7.66,0,1.53,0,1.53,0.77,0,171.58,0,0.77,0,0.77,0,17.62,1.53,1.53,15.32,0,0.77,0,0,0.77,3.06,0,1.53,0.77,0.77,0,0
120,0,1.96,3.92,5.88,0,0,0,1.96,0,0,311.61,0,0,0,1.96,0,21.56,0,1.96,17.64,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0
