stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,50,0,1,0,0,0,4,0,2,21,0,2,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,4.93,0,0,154.32,0,1.64,0,0,0,0,0.82,0,36.12,0,9.03,0,0
 36-46,0,0,0,0,0,0,19.34,0,0,0,2.42,0,0,0,0,0,0,0,0,0,359.33,0,0.81,0,0,0,0,0,0,72.51,0,1.61,0,0
 48-58,0,0,0,1.72,0,0,53.94,0.57,0,0,5.74,0,0,0,0,0.57,0,5.16,0,1.15,322.48,0,1.72,0,0,1.15,0,0,0,46.48,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,153.12,0,0.98,0,3.93,0,0,0,0,0,1.96,0,0,0,346.48,0,0.98,0,0,0.98,0,0,0,45.15,0,0.98,0,0
 72-82,0,0,0,0,0,0,97.18,0,0,0,5.89,0,0,0,0,0,0,7.85,1.96,0.98,200.26,0,0.98,0,0,2.94,0,0,0,12.76,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,62.66,0,0,0,5.31,0,0,0,0,0,0,2.12,1.06,1.06,100.89,0,0,5.31,0,7.43,0,0,0,9.56,0,2.12,1.06,0
 96-106,0,0,0,4.37,1.09,1.09,39.34,0,1.09,0,3.28,1.09,0,1.09,1.09,1.09,0,4.37,0,1.09,85.24,0,0,1.09,0,7.65,0,0,0,4.37,1.09,1.09,0,0
108-118,0,0,0,7.66,0,1.53,29.87,0.77,0.77,0.77,5.36,2.3,0,0,0.77,0,0,1.53,0.77,0.77,88.85,0,0,0.77,0,3.83,0,0,0,0.77,0,0,0,0.77
120,0,0,0,5.88,0,5.88,37.24,0,0,0,3.92,0,0,0,1.96,1.96,0,3.92,0,0,74.47,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0
