stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,12.31,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,4.03,25.78,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0.57,1.15,0,0,0,0,0,0,0,0,4.59,0,0.57,36.15,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,2.94,0,0,0,3.93,0,0,0,0,7.85,0,0.98,67.73,0,0,0,0,0,3.93,0,0,0.98
 72-82,0,0,0,11.78,0,0,2.94,17.67,0,0.98,0,0,12.76,0,4.91,111.91,0,0.98,0,0,0,8.83,0,0,0.98
 84-94,0,0,0,14.87,0,0,4.25,18.05,0,1.06,1.06,0,19.12,0,3.19,53.1,0,0,0,0,1.06,2.12,0,0,0
 96-106,0,0,0,14.21,0,1.09,6.56,15.3,1.09,0,0,0,14.21,0,6.56,60.11,0,0,0,1.09,0,2.19,0,1.09,1.09
108-118,0,0,2.3,9.19,0.77,0,6.13,15.32,0,0,1.53,0.77,7.66,0.77,4.6,68.94,0,1.53,0,0,0,3.06,0.77,0,0
120,0,0,0,11.76,1.96,0,5.88,9.8,0,0,0,0,3.92,0,7.84,70.55,0,1.96,0,0,0,1.96,0,0,0
