stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0
 24-34,0,21.34,0,0.82,0,0,0,0,0,1.64,0,0,0,3.28,0,0,0,0,0.82,1.64,0,0
 36-46,0,20.14,0.81,0,1.61,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0.81,0,0
 48-58,0,26.4,0,1.72,2.3,0.57,0,0,0,0,1.15,0,0.57,5.16,0,0,0,0.57,0,1.72,0,0.57
 60-70,0,24.54,0,2.94,0.98,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0,1.96,0,0
 72-82,0,28.47,0,2.94,0.98,0,0.98,0.98,0.98,2.94,1.96,0.98,0,7.85,0,0,0.98,0,0,0.98,0,0
 84-94,0,76.47,1.06,1.06,5.31,0,0,0,0,4.25,0,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,65.57,0,0,1.09,0,0,0,0,8.74,3.28,1.09,0,9.84,1.09,0,1.09,0,0,0,0,0
108-118,0,77.36,0,0.77,8.43,0.77,0,0,0,9.19,1.53,0,0,3.06,0,0,0,0,0,0,0,0
120,0,70.55,0,3.92,9.8,1.96,0,0,0,1.96,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
