stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,9.85,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,15.31,0,1.61,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,13.77,0,2.3,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,17.67,0,6.87,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,0,0.98,0,0,0,44.17,0,9.82,0,0.98,0.98,2.94,0,1.96,0,2.94
 84-94,0,0,0,0,0,0,0,47.79,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,76.5,1.09,14.21,1.09,1.09,1.09,3.28,1.09,0,4.37,2.19
108-118,0,0,2.3,0,0,1.53,0,45.19,0,15.32,0,3.06,0.77,2.3,0,0,2.3,1.53
120,0,0,0,0,0,1.96,0,78.39,0,13.72,0,0,0,1.96,0,0,1.96,0
