stage,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,5.75,0,0,0.82,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0,1.61,0,9.67,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,2.3,0,0,0,1.15,0,4.02,0,0,0,0
 60-70,0.98,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.93,0,0.98,0,4.91,0,2.94,0,0.98,0.98,0
 84-94,1.06,0,0,0,4.25,4.25,0,7.43,0,0,0,4.25,0,4.25,0,0,0,1.06
 96-106,2.19,0,1.09,1.09,3.28,0,1.09,12.02,0,0,0,6.56,0,5.46,0,3.28,0,0
108-118,6.13,0,0,0,19.92,0,0,11.49,0.77,0,0,4.6,0,3.06,0,2.3,0,0
120,1.96,0,1.96,0,23.52,0,3.92,5.88,0,0,0,1.96,1.96,0,0,1.96,0,0
