stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,408.52,3439.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,134.85,2022.78,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,12.26,55.17,0,0,0,0,0,0,0,0
  7-9,36.8,28.92,57.83,0,0,86.75,0,0,0,31.54,0,0,0,0,0,835.93,10.51,0,0,286.53,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,25.18,0,0,31.47,0,0,0,12.59,0,0,0,0,0,330.43,6.29,0,0,75.53,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,2,30,2,11,0,1,4,0,0,0,1,6,5,107,5,0,1,0,0,0,27,1,1,15,23,0,1
 24-34,0,0,0,2.46,0,2.46,0,0,0,0,0,0,0,4.1,0.82,20.52,1.64,0,0.82,0,5.75,0,0,0,0,0,2.46,1.64,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0.81,0.81,0.81,0,14.5,0,0.81,0,0,3.22,0,0,0,0,0,7.25,0,0
 48-58,0,0,0,0,0,2.3,0.57,0.57,0,0,0,0,0,1.15,0,5.16,0,0,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,19.63,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,13.81,0,0,0,0,0,0,0,2.12,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,24.04,0,1.09,0,0,1.09,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,19.92,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
