stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,30.65,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,7.89,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,97.26,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,37.76,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,13,3,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,1,46,2,2,1,0,2,1,1,0,26,0,0,2,0,0
 24-34,0,0,0,2.46,7.39,2.46,0,9.85,0,0,0,2.46,4.1,0,0.82,0,0.82,0,0,0.82,0.82,4.93,0,0,2.46,229.02,10.67,8.21,1.64,0,4.1,0,18.06,0,73.88,0,0,11.49,0,18.88
 36-46,0,0,0,0.81,4.03,0,0,27.39,0,0.81,0,4.03,1.61,0.81,1.61,0,0,0,0,0.81,3.22,5.64,0,0.81,0.81,636.48,4.03,9.67,0,0,3.22,0,9.67,0,105.54,0,0,24.98,0,24.98
 48-58,0,0.57,0,0,4.59,0,0,104.43,0.57,1.15,1.15,13.2,2.3,0.57,1.15,0,1.72,2.3,0.57,2.3,5.74,12.62,0.57,0,0.57,973.75,8.61,9.18,0.57,0,4.02,0,9.75,0,167.55,0,0,35,0,30.41
 60-70,0,0,0,0,7.85,0,0,195.32,0.98,0,0,22.58,8.83,0,0.98,0,0,0.98,1.96,0.98,2.94,13.74,0.98,0,0.98,1217.09,6.87,6.87,1.96,0,1.96,0,8.83,0.98,168.82,0.98,0.98,28.46,0,21.59
 72-82,0,0,0.98,0,5.89,2.94,0,243.45,0,0,0.98,34.36,12.76,1.96,4.91,0,0.98,1.96,5.89,0.98,1.96,40.25,0.98,2.94,1.96,1022.89,5.89,10.8,6.87,0,2.94,0,13.74,0,109.95,6.87,0,63.81,1.96,14.72
 84-94,0,0,0,0,8.5,4.25,2.12,180.55,0,1.06,0,24.43,21.24,1.06,1.06,2.12,2.12,4.25,3.19,9.56,5.31,24.43,3.19,2.12,2.12,471.54,13.81,32.92,12.74,0,5.31,0,27.61,0,41.42,6.37,1.06,58.41,3.19,26.55
 96-106,0,0,1.09,0,12.02,3.28,2.19,158.46,0,0,1.09,28.41,21.86,0,6.56,3.28,0,1.09,6.56,4.37,0,40.44,0,2.19,7.65,398.89,3.28,50.27,12.02,0,6.56,0,21.86,0,24.04,5.46,0,56.83,1.09,26.23
108-118,0,0,1.53,0.77,9.19,1.53,12.26,122.55,0,0,0,19.92,22.21,0,2.3,0.77,0.77,8.43,3.83,7.66,2.3,26.04,0,0.77,3.06,383.75,5.36,26.81,10.72,0,3.06,0,19.92,0,26.04,7.66,0,39.06,0,26.81
120,0,0,0,1.96,23.52,3.92,0,111.71,0,0,1.96,27.44,33.32,0,3.92,3.92,1.96,3.92,0,5.88,0,17.64,0,1.96,1.96,538.94,7.84,21.56,7.84,0,0,0,29.4,0,25.48,1.96,0,45.08,0,11.76
